من	から
تعقيد	合併症
الاغاني	ソング
مرئي	ビジュアル
مرئي	可視
عقارب	サソリ
حامض	すっぱい
حامض	サワー
حامض	酸っぱい
جيروم	ヒエロニムス
جيروم	ジェローム
نجاة	サバイバル
بوكا	ボカ
مثبتة	固定された
التفرقة	区別
التفرقة	微分
التفرقة	分化
كونج	コング
للسباحة	水泳
للسباحة	競泳
للسباحة	スイミング
ماين	メイン
المرارة	苦味
الجماع	性交
الصامت	無音
الصامت	サイレント
الماس	ダイアモンド
الماس	ダイヤモンド
فضي	シルバー
جذع	トランク
جذع	胴体
الاتهامات	告発
موجز	まとめ
موجز	概要
موجز	要約
موجز	概説
موجز	概略
الجذع	胴体
الحرمان	否定
تصاعد	昇格
حبيبة	ガールフレンド
الرخصة	免許
الرخصة	ライセンス
حاسب	コンピュータ
حاسب	コンピューター
الشكوك	疑念
اذاعة	ラジオ
سالي	サリー
البرونز	ブロンズ
البرونز	青銅
ظن	思考
تجسيد	化身
كيني	ケニー
استبدل	置換
المجاري	下水道
تزامن	同期
نسق	書式
نسق	座標
نسق	フォーマット
صديقي	友だち
صديقي	友達
صديقي	友人
صديقي	フレンド
الصحن	プレート
الصحن	ディッシュ
الكيس	かばん
الكيس	バッグ
الجهل	無知
الطوابق	デッキ
الصابون	ソープ
الصابون	石けん
الصابون	石鹸
كيري	ケリー
الرايخ	ライヒ
محول	アダプタ
محول	コンバータ
محول	アダプター
تعهد	誓約
تشانغ	チャン
التصور	知覚
براد	ブラッド
المستندات	文書
المستندات	ドキュメント
المستندات	ドキュメンテーション
المستندات	書類
اليود	ヨード
المطاط	ゴム
المطاط	ラバー
ملحمية	エピック
ملحمية	叙事詩
النداء	アピール
النداء	抗告
النداء	上告
الثالوث	三位一体
الفاتحة	パステル
الاوسط	ミドル
الاوسط	真ん中
جاين	ジェーン
استسلام	降伏
عاطفية	センチメンタル
شاحنة	トラック
دب	クマ
القش	干し草
القش	ストロー
القش	わら
خفية	不可視
كاميرون	キャメロン
نزهة	周遊
نزهة	ピクニック
نزهة	遠足
نزهة	お出かけ
نزهة	アウティング
الجمارك	風習
البرتقال	オレンジ
المدونة	ブログ
المدونة	ブロガー
مراتب	マットレス
تقاسم	共有
تقاسم	シェア
جنسيات	国籍
متقدم	上級
فينيل	ビニール
تستقبل	受け取る
تستقبل	受信
روسو	ルッソ
درج	引き出し
التحفيز	モチベーション
التحفيز	刺激
شيفيلد	シェフィールド
الجوار	近所
الجوار	近隣
بود	バド
مخابرات	知能
الصياغة	策定
الصياغة	立案
خبرات	エクスペリエンス
تون	トン
الجنون	狂気
الفاخرة	贅沢
شجاعة	ブレイブ
شجاعة	勇気
شجاعة	勇敢
شجاعة	勇者
تشان	チャン
تشان	チュン
ايران	イラン
الطلاء	塗料
الطلاء	ペイント
الطلاء	ペンキ
المبارزة	フェンシング
المبارزة	決闘
قارات	大陸
المقابلات	インタビュー
لقطات	ショット
لقطات	スナップショット
بقى	滞在
الربو	ぜんそく
الربو	喘息
الوافدين	到着
تذكرة	チケット
تذكرة	切符
السخرية	皮肉
صريح	明示
مشروب	ドリンク
مشروب	飲み物
مشروب	飲む
حاوية	コンテナ
حاوية	容器
القميص	シャツ
غامبيا	ガンビア
الاتهام	告発
الاتهام	公訴
بكسل	ピクセル
سبت	土曜日
الفجيرة	フジャイラ
استمرارية	連続
هيلينا	ヘレナ
عراق	イラク
المضغوط	圧縮
المقعد	座席
المقعد	ベンチ
التعلق	差押え
التعلق	添付
التعلق	愛着
دوسلدورف	デュッセルドルフ
التصحيح	補正
التصحيح	訂正
التصحيح	修正
الصدفة	シェル
الصدفة	偶然
التعريفات	定義
التعريفات	関税
سوائل	流体
استقبل	受信
استقبل	受け取り
توصيات	おすすめ
كينج	国王
كينج	キング
المضمون	内容
المضمون	コンテンツ
الديزل	ディーゼル
تشين	あご
مستديرة	丸い
مستديرة	ラウンド
طريف	面白い
الاستقالة	辞職
الاستقالة	辞任
الاستقالة	辞表
ضمير	良心
المطعم	レストラン
المطعم	飲食店
ميكي	ミッキー
الضحك	笑う
الضحك	笑い
المناورة	マヌー
فالكون	ファルコン
الريشة	フェザー
الريشة	羽毛
الريشة	羽根
الخارجة	送信
الخارجة	発信
السجاد	絨毯
السجاد	じゅうたん
السجاد	カーペット
الجمهوريات	共和制
الدفعة	決済
الدفعة	バッチ
الدفعة	支払
الدفعة	支払い
الاخوة	ブラザーズ
الاخوة	兄弟
بالاو	パラオ
الاستغلال	搾取
نبتون	海王星
نبتون	ネプチューン
رودريغيز	ロドリゲス
التحية	あいさつ
التحية	挨拶
المستشارين	カウンセラー
مقدمي	スポンサー
مقدمي	プロバイダ
الحلوى	キャンディ
الحلوى	キャンディー
الحلوى	デザート
كوستا	コスタ
تبرع	寄付
تبرع	募金
واسعا	ワイド
بساتين	グローヴズ
المقصورة	船室
المقصورة	コンパートメント
المقصورة	キャビン
اصطدام	衝突
شعرت	フェルト
ماغنوليا	マグノリア
جاكي	ジャッキー
الضفدع	ヒキガエル
الضفدع	キノピオ
الضفدع	カエル
واتسون	ワトソン
مروحة	ファン
الترميم	維新
الترميم	修復
الترميم	リフォーム
الترميم	復元
المروج	メドウズ
ليسوتو	レソト
المناورات	演習
المخزن	倉庫
المخزن	ストア
المخزن	ストレージ
المخزن	店舗
التعبئة	パッケージング
التعبئة	梱包
التعبئة	動員
التعبئة	包装
التعبئة	荷造り
لوسيا	ルシア
لوسيا	ルチア
الخليط	混合物
التدرج	グラデーション
التدرج	勾配
الشرير	悪役
كات	ネコ
كات	ねこ
مكرر	複製
مكرر	ビス
مكرر	重複
قضبان	バー
البنت	女の子
البنت	少女
البنت	ガール
المورد	サプライヤー
المورد	リソース
المورد	資源
ميتشل	ミッチェル
دخان	スモーク
اصطناعي	人工
اصطناعي	合成
الدولار	yen
الدولار	ドル
غلاسكو	グラスゴー
غبار	砂塵
غبار	ダスト
غبار	ほこり
قميص	シャツ
المراعي	牧草
مكلف	高額
مكلف	高い
والاس	ウォレス
المرج	芝生
المرج	草地
التسليم	配達
التسليم	配送
التسليم	デリバリー
التسليم	配信
توري	トリ
الاستشعار	センサ
الاستشعار	センサー
عنابة	アンナバ
الطليعة	ヴァンガード
ادخال	入力
التطهير	粛清
التطهير	クレンジング
التطهير	パージ
التطهير	浄化
اشهر	ヶ月
حجز	留保
حجز	予約
كيفين	ケヴィン
مقترح	提案
مقترح	暗示
مقترح	おすすめ
مقترح	プロポーズ
غسيل	洗浄
غسيل	ランドリー
غسيل	洗濯
استضاف	主催
البكتيرية	細菌
البكتيرية	バクテリア
مزج	ブレンド
وليامز	ウィリアムズ
احتواء	封じ込め
ملائم	合う
بالهند	インド
لوران	ローラン
الممرضة	ナース
كوبي	キューバ
كوبي	神戸
البيطري	獣医
يناسب	合う
رمال	砂塵
روزا	ローザ
جوش	ジョシュ
يوكوهاما	横浜
زيارات	訪問
ظرف	封筒
يكره	憎悪
اشراف	監督
تعريفات	定義
تعريفات	関税
محارب	戦士
تسلا	テスラ
زوار	ビジター
الازدهار	繁栄
الاخير	ラスト
الاخير	最後
الاخير	最終
تطير	フライング
تطير	飛ぶ
زفاف	ウェディング
زفاف	結婚式
صامت	無音
صامت	サイレント
عادلة	フェア
لعنة	呪い
حمامات	浴室
تكييف	適応
دومينيكا	ドミニカ
الصمامات	バルブ
طوق	首輪
المجوهرات	ジュエリー
المجوهرات	宝石
المصرفي	銀行員
الغاء	キャンセル
الغاء	取り消す
الغاء	解除
الغاء	抹消
الغاء	取り消し
تجنيد	募集
تجنيد	求人
ماكاو	マカオ
افتراضي	デフォルト
الزبائن	カスタマー
متاجر	店舗
متاجر	ショップ
حليف	アリー
حليف	アライ
ثلاثون	三十
دمار	破壊
الصرع	てんかん
التعويض	賠償
التعويض	弁償
التعويض	補償
التعويض	補てん
التعويض	報酬
التثبيت	インストール
التثبيت	設置
المواطنون	市民
جويل	ジョエル
التضحية	犠牲
التضحية	生贄
التعايش	同棲
نهار	昼間
نهار	一日
كبيره	ビッグ
كبيره	大きい
كبيره	大きな
فارغ	空欄
فارغ	ブランク
فارغ	空っぽ
العجلة	ホイール
العجلة	車輪
حلويات	お菓子
حلويات	スイーツ
هيلاري	ヒラリー
يونيون	ユニオン
الدر	長老
بوني	ボニー
بالنيابة	演技
المحافل	フォーラム
مثبت	スタビライザー
المناقشات	話し合い
المناقشات	ディスカッション
كيلوجرام	キログラム
طلاء	塗料
طلاء	ペイント
طلاء	ペンキ
اعوام	年数
مهني	プロフェッショナル
البروسية	プロイセン
شرس	いじめ
شرس	激しい
شرس	激戦
الجاليات	コミュニティ
الحصين	海馬
المدعي	原告
جادة	深刻
ناعمة	ソフト
ناعمة	滑らか
ناعمة	スムーズ
ناعمة	スムース
ناعمة	柔らかい
ناعمة	やわらかい
النظافة	清掃
النظافة	衛生
بصمة	印刷
بصمة	指紋
اليوسفي	ミカン
مواطنين	市民
البطارية	バッテリー
البطارية	電池
البطارية	バッテリ
مخلوق	生き物
هاردي	ハーディ
ياهو	ヤフー
مصادرة	没収
استراحة	ブレーク
استراحة	区切り
استراحة	休む
استراحة	休憩
استراحة	安静
ريتا	リタ
المتاجر	店舗
المتاجر	ショップ
حسم	解決
حسم	解消
الكفر	冒涜
الفيروسي	バイラル
اسلوب	スタイル
اسلوب	方法
اسلوب	メソッド
المبالغ	金額
المبالغ	合計
الحواس	感覚
مضغوط	圧縮
مهاجر	移民
مهاجر	出稼ぎ
هنتر	狩人
هنتر	ハンター
ماجلان	マゼラン
الجنازة	葬式
الجنازة	葬儀
لافتة	バナー
لافتة	横断幕
فوري	インスタント
فوري	即時
فوري	瞬間
الترشيحات	ノミネート
بائع	ベンダー
بائع	セールスマン
بائع	売主
حاجات	ニーズ
تفضيل	好み
المنتصف	中心
المنتصف	ミドル
المنتصف	真ん中
المنتصف	中央
المنتصف	センター
كشافة	スカウト
لبن	牛乳
لبن	ミルク
لبن	ヨーグルト
منتجعات	リゾート
التحسينات	改良
يوهانس	ヨハネス
الدرب	パス
زهور	お花
الضبط	チューニング
بارت	バート
نسر	ワシ
نسر	イーグル
نسر	ハゲワシ
اعلام	フラグ
اعلام	メディア
اعلام	国旗
التماس	請願
التماس	勧誘
البائع	ベンダー
البائع	売主
اسحاق	アイザック
اسحاق	イサク
صبي	男の子
صبي	少年
صبي	ボーイ
الغروب	日没
الغروب	夕焼け
باني	バニー
باني	うさぎ
الشهود	証人
ويتني	ホイットニー
التعيين	任命
التعيين	任用
التعيين	予約
التعيين	求人
التعيين	選任
الخبير	エキスパート
نام	睡眠
نام	スリープ
نام	眠る
معارف	知人
معارف	知り合い
طوارئ	緊急
ليندا	リンダ
استراتيجيات	戦略
سميك	厚い
سميك	太い
اللوم	責め
مطولة	長文
شوكة	フォーク
المعجبين	ファン
ترجمات	翻訳
ترجمات	サブタイトル
الممثلون	俳優
الفضيلة	美徳
فابيو	ファビオ
مقرن	角質
مقرن	ムラムラ
الناقلة	タンカー
خيمة	テント
دجاج	ニワトリ
دجاج	チキン
دجاج	鶏肉
الاعراض	症状
الاعراض	徴候
السلعة	商品
روكي	ロッキー
النيكل	ニッケル
المحادثات	スレッド
المحادثات	会話
الاعضاء	メンバ
الاعضاء	機関
الاعضاء	臓器
الاعضاء	メンバー
التحويلات	転送
رمادية	灰色
رمادية	グレイ
رمادية	グレー
ميانمار	ミャンマー
العريس	花婿
جوردان	ジョーダン
جوردان	ヨルダン
غور	ゴア
الاستكشاف	探検
التنظيف	整理
التنظيف	洗浄
التنظيف	掃除
التنظيف	クリーンアップ
التنظيف	クリーニング
التنظيف	清掃
البوصلة	コンパス
الحشرة	昆虫
البيرو	ペルー
عسل	はちみつ
عسل	蜂蜜
عسل	ハニー
غموض	ミステリー
كتيب	パンフレット
كتيب	ハンドブック
كتيب	冊子
كتيب	小冊子
كلاوس	クラウス
بوتو	ブットー
مراسلة	対応
مراسلة	通信
البن	コーヒー
هاملتون	ハミルトン
ليف	リブ
ليف	リヴ
ماركيز	マルケス
ماركيز	侯爵
الرضيع	乳児
الرضيع	幼児
العتاد	歯車
العتاد	金物
العتاد	ギア
العتاد	ハードウェア
الاستشارات	コンサルタント
الاستشارات	コンサルティング
اب	父親
فاصلة	コンマ
كوكس	コックス
ترددات	周波数
سترة	セーター
سترة	ジャケット
الضلع	肋骨
كلاي	粘土
كلاي	クレイ
تناقش	ディスカッション
تناقش	話し合う
استنتاج	結論
استنتاج	エンディング
بيزا	ピサ
الدوبامين	ドーパミン
الملاريا	マラリア
سيمبسون	シンプソン
وارن	ウォーレン
مبكرا	早い
مبكرا	アーリー
بيرم	パーマ
تنتظر	待ち
الحمولة	貨物
التفسيرات	解釈
التفسيرات	解説
التدفئة	暖房
حسنا	まあ
دموي	ブラッディ
احسن	ベター
العبر	レッスン
العبر	授業
روبيرتو	ロベルト
اللاسلكي	ワイヤレス
يتدفق	流れる
شفافة	透明
الغراب	レイヴン
الغراب	カラス
الغراب	クロウ
السمة	テーマ
خالص	純粋
خالص	ピュア
المشيمة	胎盤
راندي	ランディ
اتبع	フォロー
كور	コーパス
مستقبلا	フューチャー
مستقبلا	将来
مستقبلا	未来
ميني	ミニー
ميني	ミニ
موديل	モデル
لورينزو	ロレンソ
لورينزو	ロレンツォ
مواعيد	日付
انتحار	自殺
العاملون	社員
تحطيم	スマッシュ
محصول	トリミング
محصول	切り取り
محصول	切り取る
انفجارات	爆発
الشياطين	悪霊
بينيت	ベネット
حاضر	はい
التحولات	シフト
التحولات	変換
المقاهي	カフェ
تايلر	タイラー
الوسم	マーキング
فرساي	ヴェルサイユ
بارون	男爵
يمشي	歩く
يمشي	歩行
يمشي	ウォーキング
السائقين	ドライバー
السائقين	ドライバ
الكثبان	砂丘
الكثبان	デューン
الثمينة	貴重
الثمينة	尊い
تفشي	アウトブレイク
مرفق	愛着
مرفق	ひじ
مرفق	差押え
مرفق	別館
مرفق	施設
مرفق	添付
طشقند	タシュケント
الشرج	肛門
الشرج	アナル
سيلفيا	シルビア
البيضة	エッグ
ساموراي	サムライ
ساموراي	武士
تعذيب	拷問
كرو	カラス
كرو	クロウ
الكاميرات	カメラ
باتيستا	バティスタ
النوعي	定性的
بارا	薔薇
الحوامل	妊娠
كاسر	ブレーカー
نسبي	親戚
نسبي	相対
مهر	ポニー
القافلة	キャラバン
القافلة	船団
تنفيذية	エグゼクティブ
الغزلان	シカ
النطاقات	ドメイン
النطاقات	範囲
النطاقات	スコープ
المضيفة	ホステス
المضيفة	主催
المضيفة	ホスト
لاو	ラウ
المستند	文書
المستند	ドキュメント
المستند	書類
غار	ガー
فيديوهات	動画
سومطرة	スマトラ島
مرنة	フレキシブル
تجزئة	フラグメンテーション
تجزئة	小売
الغنم	ヒツジ
ميز	メイズ
رؤيا	ヴィジョン
رؤيا	ビジョン
الحموضة	酸味
ثقيل	重い
ثقيل	ヘビー
جسدية	物理
جسدية	フィジカル
بياض	空欄
بياض	白目
بياض	ブランク
عجلات	ホイール
عجلات	車輪
تشريع	立法
شنايدر	シュナイダー
الانحناء	お辞儀
الانحناء	曲げる
متوازية	並列
متوازية	パラレル
تفسيرات	解釈
تفسيرات	解説
البدلة	背広
البدلة	スーツ
متواصلة	連続
كاش	現金
النمور	タイガース
حاسة	センス
حاسة	感覚
امتيازات	譲歩
امتيازات	特権
مذنب	有罪
تفكيك	解体
صلصة	ソース
البلوط	オーク
صدفة	シェル
صدفة	偶然
رواسب	預金
جمجمة	頭蓋骨
جمجمة	髑髏
مقرر	決断
مقرر	決定
النبيل	尊い
التحمل	持久力
المهاجر	移民
المهاجر	出稼ぎ
طلقة	ショット
الافراد	人材
الافراد	職員
الافراد	個人
علا	アラ
علا	オラ
رقائق	チップ
رقائق	チップス
الضجيج	騒音
الضجيج	ノイズ
بصريات	光学
تسريع	加速
تسريع	加速度
اعتداء	アサルト
اعتداء	暴行
اسباب	理由
اقرب	近い
الفراش	マットレス
الفراش	ベッド
الفراش	寝具
المصابيح	街灯
السمعة	評判
مارجريت	マーガレット
سيرجي	セルゲイ
السكرتير	秘書
فيلما	ヴェルマ
ناري	銃器
دمى	人形
السوفييتية	ソビエト
الشلف	シュレフ
اسماعيل	イスマーイール
الزرنيخ	ヒ素
اقتراحات	提案
اقتراحات	おすすめ
صريحة	明示
اسيا	アジア
اخبار	ニュース
ديدان	ミミズ
بيولوجية	生物
موظفين	社員
اتمنى	ウィッシュ
مظلمة	ダーク
مظلمة	暗い
تحسينات	改良
المبشرين	宣教師
مقتطفات	エキス
مقتطفات	抜粋
تدريجي	プログレッシブ
الاصلي	オリジナル
ريا	レア
الشريحة	滑り台
الشريحة	スライド
الشريحة	線分
الشريحة	セグメント
الشريحة	チップ
الشريحة	スライス
صمت	無音
صمت	沈黙
صمت	サイレンス
ريكو	リコ
ثوب	ドレス
عش	ライブ
عش	生きる
خداع	欺瞞
سيول	ソウル
كينيث	ケネス
دارين	ダレン
الحلال	ハラール
شلبي	シェルビー
النوبات	発作
النوبات	シフト
الحجج	引数
الحجج	論証
الواحة	オアシス
علة	バグ
علة	不具合
الجوهرة	ジュエル
الجوهرة	宝石
الرقعة	パッチ
الضيافة	接客
الضيافة	おもてなし
تايلند	タイ
الاسد	獅子
الاسد	アサド
الاسد	ライオン
ملء	埋める
ملء	中身
كلوي	クロエ
عشبة	ハーブ
ارسل	送信
ارسل	送る
اسماء	名称
اسماء	名前
وحوش	モンスターズ
الجلسات	審問
الجلسات	セッション
الجلسات	聴聞
الجلسات	会議
الجلسات	ミーティング
الجلسات	セッションズ
ناتالي	ナタリー
الحواف	エッジ
يشرب	飲む
روبية	ルピー
محام	弁護士
بريمن	ブレーメン
الكنوز	宝物
تمتع	楽しむ
السجائر	タバコ
موزع	ディーラー
موزع	ディスペンサー
المتلقي	宛先
الشارة	バッジ
الضوضاء	騒音
الضوضاء	ノイズ
المنتهية	送信
المنتهية	発信
سجين	囚人
سجين	捕虜
شير	シェール
انبعاث	リバース
انبعاث	排出
انقرضت	絶滅
نظارة	メガネ
نظارة	眼鏡
نظارة	めがね
التوائم	双子
اعتناق	抱擁
الرمان	ザクロ
يستضيف	ホスト
الطوابع	切手
ببغاء	オウム
ببغاء	インコ
طومسون	トンプソン
الكاردينال	基数
الكاردينال	枢機卿
ووكر	ウォーカー
الهجرات	移行
حوزة	不動産
بروفيسور	教授
المزيج	混ぜる
المزيج	ミックス
المستعمل	ユーザ
المستعمل	ユーザー
مارتينيز	マルティネス
الخاتم	リング
الخاتم	指輪
خيل	ウマ
الوشم	入れ墨
الوشم	タトゥー
الوشم	刺青
الغواصة	潜水艦
الغواصة	サブ
البروتستانتي	プロテスタント
الحضر	アーバン
التحف	アンティーク
السرير	ベッド
بيجو	プジョー
مورو	モロー
مورو	モロ
مرن	フレキシブル
وصفات	レシピ
مكسيكية	メキシカン
مكسيكية	メキシコ
المستعار	別名
المستعار	エイリアス
المستعار	偽名
المافيا	マフィア
مناقشات	話し合い
مناقشات	ディスカッション
اجمالي	合計
اجمالي	グロス
قناع	仮面
قناع	マスク
الانتصارات	勝利
التسوية	決済
التسوية	集落
التسوية	和解
فصيل	派閥
فصيل	小隊
الدولارات	ドル
وحشية	サベージ
تناقض	パラドックス
تناقض	矛盾
الفيتامينات	ビタミン
العجائب	驚異
الطاعة	服従
مانيلا	マニラ
هدسون	ハドソン
التجهيز	加工
التجهيز	処理
سبيكة	合金
يبيع	販売
الطفرة	突然変異
البيسبول	ベースボール
البيسبول	野球
المخازن	倉庫
المخازن	店舗
جوزيبي	ジュゼッペ
الاخ	ブラザー
الاخ	兄弟
السفارات	大使館
سكني	住宅地
سكني	住宅
الوصي	後見人
الوصي	摂政
الوصي	ガーディアン
الدمى	人形
خراب	廃墟
خراب	遺跡
الحاخام	ラビ
اساس	基底
تكملة	続編
انجازات	実績
انجازات	事績
انجازات	事跡
انجازات	功績
انجازات	業績
ميسوري	ミズーリ
المصالحة	調停
المصالحة	和解
المصالحة	和睦
طي	折りたたみ
كرامة	尊厳
كرامة	品格
كرامة	威厳
قادم	来る
قادم	カミング
اسطوانات	シリンダー
اسطوانات	cd
مزمن	持病
مزمن	慢性
الرعاة	スポンサー
عتيق	アンティーク
عتيق	ビンテージ
المراقبين	オブザーバ
المراقبين	オブザーバー
غزل	紡績
ندوات	セミナー
اللحظات	モーメント
الاعتراض	異議
المرية	アルメリア
قذائف	貝殻
قذائف	ミサイル
قذائف	シェル
الكوليسترول	コレステロール
تنفس	呼吸
متجه	ベクター
متجه	ベクトル
واجبات	義務
واجبات	職務
طير	バード
طير	鳥類
نظافة	清掃
نظافة	衛生
معقولة	分別
التناظر	対称
الحمم	溶岩
منافس	ライバル
منافس	競合
الرواق	廊下
رصيف	歩道
رصيف	桟橋
رصيف	舗装
الرعي	放牧
الصبغة	染める
الصبغة	顔料
الصبغة	染料
بلورة	クリスタル
بلورة	結晶
اكتمل	完備
اكتمل	コンプリート
الخواتم	リング
الخواتم	指輪
المخلوق	生き物
نهب	略奪
كاسل	キャッスル
هوايات	趣味
الحبال	ロープ
المنشطات	ステロイド
جوا	ゴア
ريتشي	リッチー
الشوائب	穢れ
كشمير	カシミール
المتقدمين	志願者
مارين	マラン
مارين	マリン
هونج	ホン
البليدة	ブリダ
توب	トップ
توب	上部
كسور	骨折
الاستوديو	スタジオ
الحافلة	バス
يونان	ギリシャ
ناش	ナッシュ
الامتيازات	譲歩
الامتيازات	特権
حمية	ダイエット
حمية	国会
حمية	献立
الانصهار	フュージョン
حصاد	収穫
ملحقات	アクセサリー
ملحقات	アクセサリ
ملحقات	添付
ماريانا	マリアナ
فكتوريا	ビクトリア
فكتوريا	ヴィクトリア
محقق	刑事
الاصلية	オリジナル
تيرنر	ターナー
هافانا	ハバナ
حمار	ロバ
بس	しかし
بس	でも
عبدة	奴隷
التايمز	タイムズ
المرتزقة	傭兵
رهاب	恐怖症
كبد	肝臓
كبد	レバー
بروميد	臭化物
تهريب	密輸
الامراض	疾病
الامراض	病気
المخاطي	粘膜
المرشحة	候補者
المرشحة	候補
القردة	サル
الامتناع	禁欲
جيلبرت	ギルバート
مقتنيات	グッズ
الملامح	機能
الملامح	特徴
حطام	瓦礫
حطام	破片
الصناديق	クラテス
الصناديق	ボックス
مصابيح	街灯
القرابة	親族
القرابة	アフィニティ
حلا	溶液
حلا	ソリューション
الحاجات	ニーズ
الفورية	インスタント
الفورية	瞬間
عابر	合格
هيلتون	ヒルトン
مدام	マダム
بالمر	パーマー
ايلول	九月
الكوبية	キューバ
ميغا	メガ
فكره	アイディア
فكره	アイデア
فكره	観念
تسوق	買い物
تسوق	ショッピング
تسوق	ショップ
تسوق	買物
سواريز	スアレス
الظهران	ダーラン
قداس	質量
قداس	ミサ
الحاوية	コンテナ
الحاوية	容器
السرطانات	カニ
المذبحة	虐殺
المذبحة	屠殺
معجزة	奇跡
معجزة	ミラクル
مصل	血清
كريستيانو	クリスティアーノ
الشرائح	スライス
الشرائح	セグメント
الشرائح	スライド
ماجدة	マグダ
مرادف	類義語
مرادف	同義語
هجين	ハイブリッド
انشئت	設立
انحناء	曲率
اليورو	ユーロ
بوليفار	ボリバル
الديكور	装飾
الديكور	デコレーション
المشغل	オペレーター
كراتشي	カラチ
حلاوة	甘味
سارية	マスト
سارية	有効
بروم	ほうき
غورو	五郎
فولتير	ヴォルテール
الفراء	毛皮
نيكي	ニッキー
نيكي	ニッキ
نيون	ネオン
عارية	ヌード
نظيف	きれい
نظيف	クリーン
سمرقند	サマルカンド
نافورة	噴水
هارفي	ハーヴィー
هارفي	ハービー
هارفي	ハーヴェイ
شرسة	激しい
شرسة	激戦
المباركة	祝福
الشوكولاتة	チョコレート
ساخن	ホット
ساخن	暑い
ساخن	熱い
انهاء	終了
انهاء	終端
انهاء	解雇
انهاء	フィニッシュ
انهاء	エンディング
التسميات	ラベル
الاغتصاب	強姦
الاغتصاب	レイプ
فراشة	チョウ
فراشة	バタフライ
وصاية	後見人
وصاية	後見
الدرج	階段
الدرج	引き出し
سلع	貨物
سلع	物品
سلع	商品
اطفال	子供
اطفال	キッズ
تقديرية	裁量
كوكو	ココ
كولا	コーラ
الامة	国民
الامة	ネーション
تاثير	インパクト
تاثير	影響力
تاثير	効果
تاثير	影響
تاثير	エフェクト
تاثير	衝撃
وردية	ナデシコ
وردية	ピンク
ستورم	ストーム
ويكيليكس	ウィキリークス
العائدات	代価
مادونا	マドンナ
صداع	頭痛
ضوابط	コントロール
كراش	クラッシュ
العيادات	クリニック
العيادات	診療所
طبرق	トブルク
النفي	亡命
النفي	流罪
المحرقة	ホロコースト
النشرة	公報
النشرة	掲示
قطرة	ドロップ
يشتغل	ワークス
يشتغل	作品
البربري	野蛮
تكبير	ズーム
الواجبات	義務
الواجبات	職務
عجل	急ぐ
باتي	パティ
عشاق	恋人
الجري	ランニング
الجري	走る
الجار	近所
الجار	隣人
نصائح	ヒント
الرامي	投手
الرامي	ピッチャー
تونغا	トンガ
الحيض	月経
المهارة	スキル
محلل	アナリスト
تمارين	演習
كارمن	カルメン
بالتيمور	ボルチモア
بلوتو	冥王星
بلوتو	プルート
القنفذ	山嵐
القنفذ	ハリネズミ
الصينيون	中国人
الصينيون	中国語
الاب	父親
المسيل	液化
الراقصة	ダンサー
احتجاج	抗議
الكاكاو	ココア
كنوز	宝物
باريت	バレット
افريقيا	アフリカ
وون	ウォン
التدهور	劣化
القمامة	ごみ
القمامة	ゴミ箱
القمامة	ゴミ
القمامة	ごみ箱
القرد	サル
ليختنشتاين	リヒテンシュタイン
فاسكو	バスコ
فاسكو	ヴァスコ
رايان	ライアン
راين	ライアン
البصريات	光学
نيومان	ニューマン
مؤهل	資格
البطاطس	じゃがいも
البطاطس	ポテト
البطاطس	ジャガイモ
كولومبي	コロンビア
فرنانديز	フェルナンデス
نكهة	フレーバー
الكوليرا	コレラ
الحصري	独占
الكساد	うつ病
المصادقة	検証
المصادقة	認証
كمين	待ち伏せ
المريضة	患者
المقاتل	ファイター
حزن	悲しい
حزن	悲しみ
البنود	アイテム
البنود	品物
المدونات	ブログ
فيغو	ビーゴ
تجسس	スパイ
صلوات	祈り
الاردن	ジョーダン
الاردن	ヨルダン
الكراهية	憎しみ
الكراهية	嫌い
الكراهية	憎悪
لاهور	ラホール
كريغ	クレイグ
عايدة	アイーダ
التعب	疲労
المنازعات	コンフリクト
المنازعات	紛争
الزخم	運動量
الزخم	勢い
الثناء	賛美
الثناء	賞賛
باقة	ブーケ
القارب	ボート
خنزير	ブタ
وريث	相続
رصيد	クレジット
رصيد	バランス
رصيد	信用
رصيد	残高
تهديدات	脅迫
تهديدات	威嚇
تهديدات	脅威
البلاستيكية	プラスチック
البلاستيكية	ビニール
البلاستيكية	プラスティック
اعراض	症状
اعراض	徴候
تفصيل	ディテール
الطعن	アピール
الطعن	抗告
الطعن	刺し
الطعن	上告
كارديف	カーディフ
مواهب	タレント
الطاقات	エネルギー
الجمباز	体操
التمتع	楽しみ
لويزا	ルイサ
الفردوس	楽園
الفردوس	パラダイス
هوبكنز	ホプキンス
ينكر	否定
ينكر	拒否
التنجيم	占星術
عدالة	正義
كؤوس	カップ
كراهية	憎悪
ميليشيات	民兵
فولدمورت	ヴォルデモート
تصميمات	デザイン
غولد	グールド
غولد	ゴールド
المربعات	正方形
الجدري	天然痘
اجتياح	侵略
اجتياح	侵攻
يوتاه	ユタ
الشكوى	クレーム
الشكوى	苦情
بليد	刃物
بليد	ブレイド
سيرجيو	セルジオ
تخيل	イマジン
مورينو	モレノ
دويل	ドイル
اغتصاب	強姦
اغتصاب	レイプ
فقير	かわいそう
الميليشيات	民兵
جريس	グレース
جريس	恩寵
جريس	グレイス
نقي	純粋
نقي	ピュア
خطا	エラー
خطا	間違い
شاحب	ペール
شاحب	青白い
الركود	停滞
القفص	ケージ
