что	อะไร
шар	ลูกบอล
шар	ลูกโป่ง
шар	บอลลูน
шар	ชาร์
шар	บอล
подарок	ปัจจุบัน
подарок	พรสวรรค์
очко	สกอร์
очко	ประเด็น
очко	จุด
очко	ชี้
очко	แต้ม
очко	คะแนน
стрелка	นักกีฬา
стрелка	มือปืน
жидкость	เหลว
жидкость	ของเหลว
свойство	คุณสมบัติ
свойство	ทรัพย์
свойство	ทรัพย์สิน
этаж	พื้น
контекста	บริบท
курорт	รีสอร์ท
закончить	เสร็จ
мирное	สันติ
мирное	สงบ
барабанщик	กลอง
нож	มีด
навыки	ทักษะ
грубо	หยาบ
уменьшение	ลด
физическая	กายภาพ
рей	เรย์
рей	แร
спасение	ออม
спасение	ไถ่บาป
спасение	กู้ภัย
кросс	กางเขน
кросс	ข้าม
фильтр	กรอง
электроники	อิเล็กทรอนิกส์
колеса	ล้อ
аудио	เสียง
лукас	ลูคัส
мужские	ตัวผู้
продал	ขาย
акул	ฉลาม
химическая	เคมี
химическая	เคมีภัณฑ์
поляки	ขั้ว
четверть	ไตรมาส
приобрести	ซื้อ
повысить	กระตุ้น
повысить	โปรโมท
повысить	โปรโมต
особая	พิเศษ
ген	จีน
ген	ยีน
смешанные	ผสม
призы	รางวัล
адамс	อดัมส์
мятеж	กบฏ
социальное	สังคม
просмотр	ดู
максимальное	สูงสุด
рика	ริก
рика	ริค
шарлотта	ชาร์ลอตต์
шарлотта	ชาร์ล็อต
шарлотта	ชาร์ล็อตต์
буш	บุช
тайвань	ไต้หวัน
миф	ตำนาน
убежище	ที่พัก
мышь	เมาส์
биг	บิ๊ก
биг	ใหญ่
тезис	วิทยานิพนธ์
катера	เรือ
кен	เคน
подтверждена	ยืนยัน
координации	ประสาน
рождество	คริสต์มาส
ральф	ราล์ฟ
стандартный	มาตรฐาน
отделений	ออฟฟิศ
отделений	สาขา
отделений	กิ่ง
отделений	สำนักงาน
чистый	สะอาด
чистый	สุทธิ
чистый	ตาข่าย
чистый	ล้าง
чистый	ถ้วน
чистый	บริสุทธิ์
чистый	เน็ต
тепло	อุ่น
тепло	ร้อน
тепло	อบอุ่น
погода	อากาศ
раннее	ต้น
болота	บึง
избегать	เลี่ยง
окружности	วงกลม
пригороде	ชานเมือง
празднование	ฉลอง
спорных	แย้ง
спорных	พิพาท
римлян	โรมัน
длинная	นาน
длинная	ยาว
дождь	ฝน
дождь	เรน
рено	โนรี
продать	ขาย
колесо	ล้อ
клиент	ลูกค้า
сохранять	ประหยัด
сохранять	บันทึก
шум	เสียง
сталь	เหล็ก
скот	สกอต
скот	สก็อตต์
скот	วัว
скот	สก๊อต
скот	สก็อต
скот	ปศุสัตว์
выделил	ไฮไลท์
выделил	ไฮไลต์
кусок	พีซ
кусок	พีซี
кусок	ชิ้น
кальция	แคลเซียม
ева	อีฟ
филиппины	ฟิลิปปินส์
заболевание	โรค
ствол	อวย
ствол	ถัง
ствол	ปืน
справедливо	ยุติธรรม
справедливо	แฟร์
запрещены	แบน
братства	ภราดรภาพ
цифра	คิด
цифра	หลัก
кэти	แคธี
водителя	ไดรเวอร์
лиссабон	ลิสบอน
серого	เทา
джорджия	จอร์เจีย
спектра	สเปกตรัม
норт	เหนือ
норт	อุดร
нести	อุ้ม
нести	พก
побег	หนี
ввод	ป้อน
атомов	อะตอม
документация	เอกสาร
производительность	ประสิทธิผล
производительность	ประสิทธิภาพ
производительность	ผลผลิต
заняты	ยุ่งๆ
заняты	ยุ่ง
существенные	สำคัญ
двигаться	ขยับ
двигаться	ย้าย
двигаться	เลื่อน
уважение	นับถือ
уважение	เคารพ
эскадрилья	ฝูงบิน
подтверждаю	ยืนยัน
голландский	ดัตช์
подземный	ใต้ดิน
мар	มาร์
змей	งู
авария	ตก
авария	อุบัติเหตุ
авария	คว่ำ
вождь	หัวหน้า
квартале	ไตรมาส
включено	รวม
бан	แบน
бан	ขนมปัง
повстанцы	กบฏ
доводы	อาร์กิวเมนต์
бронза	สัมฤทธิ์
редактировать	แก้ไข
шаги	ฝีเท้า
вставить	วาง
вставить	แทรก
вставить	แปะ
квалификация	วุฒิ
квалификация	คุณวุฒิ
переводить	แปล
походы	ค่าย
французское	ฝรั่งเศส
секрет	ลับๆ
секрет	ลับ
электрические	ไฟฟ้า
камеру	กล้อง
этнических	ชาติพันธุ์
излучение	การแผ่รังสี
излучение	รังสี
принести	นำ
семян	เมล็ด
электрический	รถไฟฟ้า
электрический	ไฟฟ้า
комплект	ตั้ง
комплект	กำหนด
комплект	คิ
комплект	คิคิ
комплект	คิท
комплект	คิต
чэнь	เฉิน
полицейские	ตำรวจ
утвержден	อนุมัติ
богиня	เทพธิดา
богиня	ธิดา
рид	รีด
аппараты	เครื่องจักร
замки	ล็อก
замки	ปราสาท
уверены	มั่นใจ
треугольник	สามเหลี่ยม
автоматического	อัตโนมัติ
мыши	เมาส์
лагерей	ค่าย
реабилитации	บำบัด
рик	ริก
рик	ริค
оригинальная	ต้นฉบับ
оригинальная	ดั้งเดิม
оригинальная	เดิม
богатый	รวย
богатый	ร่ำรวย
богатый	มั่งคั่ง
богатый	ริช
богатый	คนรวย
необходимое	จำเป็น
призыв	อุทธรณ์
призыв	แย้ง
канадская	แคนาดา
послов	ทูต
моисей	โมเสส
предки	บรรพบุรุษ
дайте	ให้
дайте	มอบ
записано	บันทึก
корень	ราก
корень	รูท
черный	ดำ
иностранный	ต่างด้าว
раса	แข่ง
точные	แม่นยำ
ближнем	กลาง
опасных	อันตราย
филиппин	ฟิลิปปินส์
шеф	หัวหน้า
шеф	เชฟ
фестивалей	เทศกาล
физически	ร่างกาย
пособия	ประโยชน์
пособия	คู่มือ
покрытием	เคลือบ
активисты	อนุรักษ์
новость	ข่าวสาร
новость	ข่าว
новость	เรื่อง
чешской	เช็ก
идеология	อุดมการณ์
вилла	คฤหาสน์
нейтральной	ฉนวน
тень	เงา
племен	เผ่า
активистов	อนุรักษ์
консоли	คอนโซล
бин	ถั่ว
бин	ถาด
бин	บิน
тепла	ร้อน
традиционная	ดั้งเดิม
купол	โดม
смита	สมิธ
смита	สมิทธ์
маска	หน้ากาก
референдум	ประชามติ
референдум	มติ
задних	หลัง
принимая	การพา
платить	ชำระ
платить	จ่าย
враги	ศัตรู
враги	ข้าศึก
мексиканский	เม็กซิโก
кошки	แมว
протесты	ประท้วง
строка	บรรทัด
строка	แถว
строка	เส้น
соломон	โซโลมอน
мягко	เบาๆ
передние	หน้า
миров	โลก
листов	ผ้าปูที่นอน
мэй	พฤษภาคม
трофей	ถ้วย
призрак	ผี
акцент	สำเนียง
текущее	ปัจจุบัน
пациента	คนไข้
пациента	อดทน
серые	เทา
джоан	โจน
самец	ตัวผู้
симптомы	อาการ
лошадь	ม้า
ника	นิค
ника	นิก
диана	ไดอาน่า
уэйн	เวย์น
арабские	อาหรับ
коммерческие	พาณิชย์
коммерческие	โฆษณา
атаковал	ทำร้าย
хуана	ฮวน
хуана	ควน
временные	ชั่วคราว
обзора	รีวิว
обзора	วิจารณ์
павильон	ศาลา
баланс	สมดุล
разведка	ปัญญา
ткань	เนื้อเยื่อ
ткань	เสื้อผ้า
ткань	ผ้า
рыцари	อัศวิน
низ	ล่าง
служащий	พนักงาน
служащий	ลูกจ้าง
миссий	ภารกิจ
миссий	ทูต
поступления	รายรับ
моделирования	จำลอง
потоков	ลำน้ำ
потоков	ลำธาร
читайте	อ่าน
точной	แม่นยำ
отверстия	รู
пятна	คราบ
колеблется	ลังเล
уши	หู
нагрузка	โหลด
блюда	จาน
обычная	สามัญ
обычная	ธรรมดา
переменных	ตัวแปร
стекло	แก้ว
стекло	กระจก
запрещена	แบน
искусственный	เทียม
искусственный	ประดิษฐ์
спросить	สอบถาม
спросить	ถาม
рэп	แร็พ
членство	สมาชิก
главу	บท
страсти	ตัณหา
страсти	กิเลส
сет	เซ็ท
сет	ตั้ง
сет	เซธ
сет	กำหนด
сет	เซท
сет	เซ็ธ
общаться	สื่อสาร
толщина	หนา
билет	ตั๋ว
билет	บัตร
билет	ใบสั่ง
диски	แผ่น
диски	ดิสก์
автоматическая	อัตโนมัติ
похороны	ฝัง
крыши	ดาดฟ้า
крыши	หลังคา
потребность	ต้องการ
песнь	ซง
песнь	เพลง
скала	โยก
скала	หิน
скала	ร็อค
улучшать	ปรับปรุง
абсолютная	ค่าสัมบูรณ์
абсолютная	สัมบูรณ์
анатомии	กายวิภาคศาสตร์
анатомии	กายวิภาค
владельцы	เจ้าของ
математические	คณิตศาสตร์
простая	ง่าย
простая	ง่ายๆ
кожа	ผิวหนัง
кожа	ผิว
кожа	หนัง
дельта	เดลต้า
пак	สวน
пак	ปาก
пак	จอด
собранные	สะสม
плотины	เขื่อน
японцы	ญี่ปุ่น
религий	ศาสนา
интеллектуальной	ปัญญา
страхования	ประกัน
положительный	บวก
бренд	ยี่ห้อ
бренд	แบรนด์
отрицательно	ติดลบ
отрицательно	ลบ
перевели	แปล
синие	สีน้ำเงิน
синие	บลู
синие	น้ำเงิน
хаус	เฮ้าส์
хаус	บ้าน
найдена	เจอ
найдена	พบ
напишите	เขียน
бедных	คนจน
бедных	ยากจน
декоративные	ตกแต่ง
гражданское	ประชา
гражданское	แพ่ง
отдых	สันทนาการ
отдых	นันทนาการ
отдых	พัก
чжоу	โจว
забыли	ลืม
запасов	หุ้น
пустой	ว่างๆ
пустой	ว่าง
привлекает	ดึงดูด
уничтожена	ทำลาย
ноль	นิล
ноль	ศูนย์
братской	ภราดร
первичные	หลัก
чжао	เจา
практическая	ปฏิบัติ
пенсии	บำนาญ
купола	โดม
успешное	สำเร็จ
шахта	ด้าม
шахта	เพลา
рона	รอน
мат	พรม
комната	ห้อง
подписано	เซ็น
труба	ทรัมเปต
труба	ทรัมเป็ต
труба	ท่อ
арабов	อาหรับ
ставка	พนัน
ставка	ประมูล
ставка	อัตรา
римляне	โรมัน
баба	บา
эмма	เอ็มม่า
косвенно	อ้อม
архитектурных	สถาปัตยกรรม
сельскохозяйственные	เกษตร
сельскохозяйственные	การเกษตร
сельскохозяйственные	เกษตรกรรม
врата	เกท
врата	เกตเวย์
врата	เกต
добычу	ก้น
глубокий	ลึก
коробка	ช่อง
коробка	กล่อง
сёстры	สองพี่น้อง
изменено	เปลี่ยน
изменено	แก้ไข
видение	นิมิตร
богатые	รวย
богатые	ร่ำรวย
богатые	มั่งคั่ง
богатые	ริช
богатые	คนรวย
физический	กายภาพ
закрыты	ปิด
паспорт	หนังสือเดินทาง
вмешательство	แทรกแซง
опытные	ประสบ
отображения	แสดง
парагвая	ปารากวัย
толкование	ตีความ
толкование	ทำนาย
статистику	สถิติ
ветки	สาขา
ветки	กิ่ง
крыше	ดาดฟ้า
крыше	หลังคา
рай	ไร่
рай	สวรรค์
рай	พาราไดส์
рай	พาราไดซ์
демократия	ประชาธิปไตย
контент	เนื้อหา
серая	เทา
психиатрии	เวชศาสตร์
психиатрии	จิตเวชศาสตร์
кошка	แคท
кошка	แมว
стадия	เฟส
стадия	เวที
стадия	ขั้น
нарушают	ฝ่าฝืน
нарушают	ละเมิด
син	บาป
син	ชิน
син	อิน
персонал	พนักงาน
персонал	บุคลากร
гена	จีน
гена	ยีน
объявление	ประกาศ
кухни	ทำครัว
кухни	ครัว
паук	แมงมุม
уникальные	เอกลักษณ์
националистов	ชาตินิยม
продажа	จำหน่าย
продажа	ขาย
выступающие	ลำโพง
овец	แกะ
тихоокеанского	แปซิฟิค
тихоокеанского	แปซิฟิก
режимы	โหมด
турцию	ตุรกี
кнопки	ปุ่ม
тай	ไท
тай	ไท่
тай	ต่าย
тай	ไต้
прыжок	กระโดด
прыжок	โดด
местонахождение	ตำแหน่งที่ตั้ง
местонахождение	ตำแหน่ง
отраслей	อุตสาหกรรม
подавать	เสิร์ฟ
подавать	เสริฟ
присвоил	ฉ้อฉล
прежний	อดีต
яркий	สว่าง
яркий	สดใส
мышцы	กล้าม
прыжки	กระโดด
дуб	โอ๊ค
брюсселе	บรัสเซลส์
создается	สร้าง
вооружений	แขน
братство	สาวก
братство	สมาคม
братство	ภราดรภาพ
братство	สัมพันธภาพ
изучить	สำรวจ
стокгольм	สตอกโฮล์ม
мао	เหมา
сухая	แห้งๆ
сухая	แล้ง
сухая	แห้ง
спросил	ถาม
европейское	ยุโรป
змея	งู
пива	เบียร์
кадр	กรอบ
кадр	เฟรม
кадр	ยิง
юмор	ขัน
бренда	ยี่ห้อ
бренда	แบรนด์
алюминия	อะลูมิเนียม
квадрат	ตาราง
карибского	แคริบเบียน
приют	ที่พัก
депрессии	หดหู่
использовано	ใช้
устранить	ขจัด
редактирование	แก้ไข
глубокое	ลึก
адаптации	ดัดแปลง
отмена	ยกเลิก
минеральных	แร่
стилей	สไตล์
сена	ฟาง
сена	แซน
кружка	เหยือก
блюдо	จาน
шанхай	เซี่ยงไฮ้
этнический	ชาติพันธุ์
религиозная	ศาสนา
стоять	ยืน
стоять	ทน
затраты	ต้นทุน
остаток	สมดุล
пролива	ช่องแคบ
восхождение	ปีน
восхождение	ไต่
куб	ลูกบาศก์
палестины	ปาเลสไตน์
классические	คลาสสิค
пел	ซาง
пел	ซัง
пел	แซง
критические	วิกฤต
критические	วิกฤติ
занято	ยุ่งๆ
занято	ยุ่ง
записали	บันทึก
платье	ชุด
жен	ภริยา
стенки	ผนัง
стенки	กำแพง
добавлено	เพิ่ม
заменили	แทนที่
скрыть	ซ่อน
тоннель	อุโมงค์
масштаб	ซูม
масштаб	ขยาย
раскол	แยก
раскол	แบ่ง
петь	สิงห์
петь	ร้อง
вере	ศรัทธา
череп	กะโหลก
прибрежных	ชายฝั่ง
ответили	ตอบ
изгнании	เนรเทศ
традиционное	ดั้งเดิม
сожгли	ไหม้
сожгли	เผา
турецкие	ตุรกี
императоров	จักรพรรดิ
дай	ให้
дай	มอบ
травы	หญ้า
травы	สมุนไพร
аспект	สัดส่วน
аспект	มิติ
пиво	เบียร์
покупки	ชอปปิ้ง
покупки	ซื้อ
вариации	แปรผัน
солнечная	สุ
солнечная	สุริยะ
трека	แทร็ค
трека	แทร็ก
специализированные	เชี่ยวชาญ
совести	มโนธรรม
совести	จิตสำนึก
совести	สำนึก
мадриде	มาดริด
роуз	โรส
роуз	โร
роуз	กุหลาบ
цензуры	เซ็นเซอร์
тонкие	บาง
тонкие	บางๆ
тонкие	ผอม
терапия	บำบัด
губ	ปาก
компьютеры	คอมพิวเตอร์
умение	ทักษะ
пас	ผ่าน
тяга	ผลัก
ущерба	อคติ
инициатива	ริเริ่ม
огромная	ใหญ่
тунис	ตูนิส
вольф	หมาป่า
электрическая	รถไฟฟ้า
электрическая	ไฟฟ้า
фаза	เฟส
помогите	ช่วย
академических	วิชาการ
предназначенные	ออกแบบ
ось	แกน
процессоров	โปรเซสเซอร์
региональная	ภูมิภาค
эмоции	อารมณ์
аналогичная	คล้าย
независимое	เอกราช
независимое	อิสระ
законопроект	บิล
сильная	เข้ม
сильная	แรง
сильная	แข็งแกร่ง
волейбол	วอลเลย์บอล
волейбол	วอลเล่ย์
пирамиды	พีระมิด
стабильности	เสถียรภาพ
напали	ทำร้าย
объявляет	แถลง
маркс	เครื่องหมาย
богатство	ร่ำรวย
богатство	ทรัพย์
богатство	ทรัพย์สิน
молоко	น้ำนม
молоко	นม
сидней	ซิดนีย์
либеральной	เสรีนิยม
мягкая	นุ่ม
мягкая	อ่อน
мягкая	นิ่ม
измерение	มิติ
принятых	ถ่าย
настроения	อารมณ์
клан	ตระกูล
клан	เผ่า
странная	แปลก
странная	แปลกๆ
смертельно	มรณะ
пересечение	ข้าม
пение	ร้อง
мины	เหมือง
подразумевается	นัย
портов	พอร์ต
запах	กลิ่น
заряд	ประจุ
заряд	ชาร์ต
заряд	ชาร์จ
изменился	เปลี่ยน
скопление	คลัสเตอร์
спорные	แย้ง
состоящие	แต่ง
уголь	ถ่านหิน
уголь	ถ่าน
душе	ฝักบัว
преподавать	สอน
странный	แปลก
странный	แปลกๆ
сунь	ซุน
сунь	ซัน
сунь	พระอาทิตย์
начального	หลัก
вправо	ถูก
вправо	ขวา
сложная	ปม
волокна	ไฟเบอร์
волокна	เส้นใย
исполняющий	ทำตัว
ливана	เลบานอน
обуви	รองเท้า
брюссель	บรัสเซลส์
камере	เซลล์
вирус	ไวรัส
кпп	แคท
кпп	แมว
крайний	สุดขีด
текущие	ปัจจุบัน
узлы	ปม
узлы	เงื่อน
узлы	ฮับ
поговорить	พูด
поговорить	คุย
отразить	ไตร่ตรอง
отразить	ใคร่ครวญ
этики	จริยธรรม
укажите	ระบุ
предупредить	เตือน
жук	บัก
жук	บั๊ก
жук	ด้วง
посредник	ตัวกลาง
посредник	คนกลาง
подписать	เซ็น
подписать	ป้าย
подписать	ลงชื่อ
арабы	อาหรับ
встретиться	พบ
бэй	เบเบ
бэй	เบย
бэй	ที่รัก
бэй	เบ
бэй	อ่าว
бэй	เบย์
выстрел	ยิง
странные	แปลก
странные	แปลกๆ
преобразованы	แปลง
коробки	กล่อง
грецию	กรีซ
экзамен	ข้อสอบ
экзамен	สอบ
ангела	เทวดา
ангела	นางฟ้า
президиум	สำนัก
президиум	สำนักงาน
католики	คาทอลิก
судана	ซูดาน
субботу	เสาร์
наполовину	ครึ่ง
демократический	ประชาธิปไตย
любимый	ชอบ
любимый	ขวัญใจ
налоги	ภาษี
абсолютный	ค่าสัมบูรณ์
абсолютный	สัมบูรณ์
королевские	ราชวงศ์
королевские	รอยัล
южное	ใต้
двойные	ดับเบิ้ล
двойные	ดับเบิล
стамбуле	อิสตันบูล
рефери	กรรมการ
эра	ยุค
эра	ศักราช
кубе	คิวบา
робинсон	โรบินสัน
подробные	ละเอียด
стандартные	มาตรฐาน
рождественский	คริสต์มาส
священный	ศักดิ์สิทธิ์
совещания	ประชุม
джордан	จอร์แดน
атмосфера	บรรยากาศ
профессиональное	วิชาชีพ
экипажей	พิม
байт	ไบต์
некролог	มรณกรรม
географический	ภูมิศาสตร์
днем	บ่าย
лёд	ไอซ์
мусора	ขยะ
сона	โซนา
болото	ห้วย
болото	บึง
опыты	ทดลอง
сингапур	สิงคโปร์
естественный	ธรรมชาติ
намеренно	จงใจ
испытание	ทดสอบ
испытание	สอบ
дик	ดิ๊ก
дик	ดิ๊ค
эли	อาลิ
эли	ไล
эли	อีไล
убивать	สังหาร
убивать	ฆ่า
кук	หุง
кук	ปรุง
кук	ครัว
гастроли	ทัวร์
груз	สินค้า
крушение	ซาก
барьер	กั้น
клиента	ลูกค้า
ден	ถ้ำ
ден	เดน
отходов	เปลือง
загрузить	ดาวน์โหลด
загрузить	โหลด
загрузить	อัพโหลด
текущая	ปัจจุบัน
венера	วีนัส
успешный	สำเร็จ
лагерях	ค่าย
отображение	แสดง
облака	เมฆ
забыть	ลืม
первоначального	ต้นฉบับ
первоначального	ดั้งเดิม
первоначального	เดิม
фонды	รากฐาน
фонды	กองทุน
преступники	อาชญากร
въезд	รายการ
коррупции	บ่อน
картинка	ภาพ
картинка	รูปภาพ
картинка	รูป
картинка	อิมเมจ
острые	คม
острые	ชาร์ป
марафон	มาราธอน
знаменитая	ดัง
зеркала	กระจก
моделирование	จำลอง
храбрость	กล้า
шины	ยาง
конституционный	รัฐธรรมนูญ
голые	โล่ง
голые	เปลือย
тёмный	มืด
тёмный	เข้ม
верю	ศรัทธา
верю	เชื่อ
налог	ภาษี
пляж	หาด
пляж	ชายหาด
майка	ไมก้า
майка	ไมค์
рога	แตร
челюсти	กราม
челюсти	ราม
графический	กราฟิก
краски	ทาสี
привод	ไดรฟ์
привод	ไดร์ฟ
боеприпасы	กระสุน
боеприпасы	ยุทธภัณฑ์
искусственных	เทียม
искусственных	ประดิษฐ์
кошек	แมว
сингапура	สิงคโปร์
пещере	ถ้ำ
аризона	แอริโซนา
ископаемые	ดึกดำบรรพ์
ископаемые	ฟอสซิล
ископаемые	ซากดึกดำบรรพ์
сменить	เปลี่ยน
сменить	เปลี่ยนแปลง
пан	แพน
абсолютной	ค่าสัมบูรณ์
абсолютной	สัมบูรณ์
венеры	วีนัส
японское	ญี่ปุ่น
вечерний	เย็น
суши	ซูชิ
доллар	ดอลลาร์
посадка	ประจำ
ожидается	คาด
острый	คม
острый	เฉียบพลัน
острый	ชาร์ป
холмс	โฮล์มส์
холмс	โฮล์ม
ангелов	เทวดา
ветры	ลม
цифровая	ดิจิตอล
проживание	ที่พัก
беспорядки	จลาจล
ограничить	จำกัด
ограничить	วงเงิน
металлические	เหล็ก
металлические	โลหะ
лиг	ลีก
смотри	ดู
смотри	มอง
голубые	สีน้ำเงิน
голубые	บลู
голубые	น้ำเงิน
биографию	ชีวประวัติ
тонкий	บาง
тонкий	บางๆ
тонкий	ผอม
маски	หน้ากาก
сирия	ซีเรีย
инцидента	เหตุการณ์
неудачи	ขัดข้อง
взаимоотношения	สัมพันธ์
разбить	ทุบ
платформу	แพลตฟอร์ม
кишки	ลำไส้
кишки	ไส้
банда	แก๊ง
холодная	เย็นๆ
холодная	เย็น
холодная	หนาว
негативные	ติดลบ
негативные	ลบ
сантиметров	เซนติเมตร
бабочек	ผีเสื้อ
яркие	สว่าง
яркие	สดใส
ложь	โกหก
ложь	เท็จ
ложь	ปลอม
пейзажи	บรรยากาศ
пейзажи	ทัศนียภาพ
пейзажи	ทิวทัศน์
водопад	น้ำตก
мягкий	นุ่ม
мягкий	อ่อน
мягкий	นิ่ม
рейтинги	คะแนน
харт	ฮาร์ต
харт	ฮาร์ท
цин	ชิง
преподавание	สอน
билеты	ตั๋ว
билеты	บัตร
практических	ปฏิบัติ
тяжелых	หนักๆ
тяжелых	หนัก
конь	อัศวิน
конь	ไนท์
конь	ม้า
конкурсы	แข่งขัน
острой	เฉียบพลัน
соотношения	อัตราส่วน
кэш	แคช
кэш	เงิน
кэш	เงินสด
игнорировать	ละเว้น
переменной	ตัวแปร
сидни	ซิดนีย์
радость	จอย
разум	รังเกียจ
разум	มายด์
разум	ใจ
разум	จิต
мотор	มอเตอร์
мотор	เครื่องยนต์
комаров	ยุง
глины	เคลย์
глины	ดิน
баня	อาบ
баня	อ่างอาบน้ำ
тюрьма	คุก
случайных	สุ่ม
случайных	มั่ว
снега	หิมะ
грамматика	ไวยากรณ์
чжу	จู
универсальный	สากล
экспериментальный	ทดลอง
комиксы	การ์ตูน
царица	ควีน
царица	ราชินี
генетики	พันธุกรรม
генетики	กรรมพันธุ์
парагвай	ปารากวัย
нулевой	ศูนย์
бомба	ระเบิด
легендарный	ตำนาน
охотно	เต็มใจ
почте	จดหมาย
сравнить	เทียบ
роб	ปล้น
крутой	ร้าย
крутой	โหด
изоляции	ฉนวน
духом	สปิริต
духом	วิญญาณ
линкольн	ลินคอล์น
знакомы	คุ้น
знакомы	คุ้นๆ
классика	คลาสสิค
агрессии	ก้าวร้าว
точный	แม่นยำ
десятилетие	ทศวรรษ
стрелять	ถ่าย
стрелять	ยิง
совещание	ประชุม
совещание	พบปะ
бай	ไบ
бай	ไป๋
залы	โถง
оппозиция	ค้าน
экзамены	ข้อสอบ
экзамены	สอบ
активы	สินทรัพย์
активы	ทรัพย์สิน
куски	ท่อน
куски	ชิ้น
гун	กุน
фраз	วลี
миллионы	ล้าน
метр	เมตริก
метр	มิเตอร์
метр	เมตร
потоки	ลำน้ำ
потоки	ลำธาร
пирс	ท่าเรือ
пирс	เพียซ
песок	ทราย
непала	เนปาล
вой	หอน
тире	เฉือน
тире	แดช
больной	ป่วย
британцы	บริติช
британцы	อังกฤษ
дисциплина	วินัย
приглашен	เชิญ
развод	หย่า
мадагаскара	มาดากัสการ์
круги	วงกลม
кнопку	ปุ่ม
кнопку	กระดุม
маша	แมรี่
маша	แมรี
потомство	ทายาท
справиться	จัดการ
справиться	รับมือ
узкие	แคบ
светлый	สว่าง
светлый	สดใส
естественные	ธรรมชาติ
всеобщего	สากล
порог	เกณฑ์
нигерия	ไนจีเรีย
разбился	ตก
навыков	ทักษะ
панама	ปานามา
стандартная	มาตรฐาน
диагноз	วินิจฉัย
целую	จุ๊บ
целую	จูบ
препятствий	อุปสรรค
лестницы	บันได
плазмы	พลาสมา
бок	บก
израильских	อิสราเอล
изнутри	ภายใน
сноска	เชิงอรรถ
сноска	อรรถ
гармонии	ปรองดอง
кость	กระดูก
корону	มงกุฎ
жуки	แมลง
натан	ธาน
натан	เนธาน
холодный	เย็นๆ
холодный	เย็น
холодный	หนาว
важны	สำคัญ
протяженность	ยาว
изменена	แก้ไข
переписка	สนทนา
серьезно	จริงจัง
мероприятие	เหตุการณ์
мероприятие	กิจกรรม
док	หมอ
док	อู่
док	ท่าเรือ
упала	เผลอ
прогноз	พยากรณ์
чувствует	รู้สึก
канаду	แคนาดา
железо	เตารีด
железо	เหล็ก
иордании	จอร์แดน
пустые	ว่างๆ
пустые	ว่าง
ангелы	เทวดา
кривая	โค้ง
мечты	ฝัน
фермы	ไร่
фермы	ฟาร์ม
экземпляры	สำเนา
белл	ระฆัง
белл	กระดิ่ง
белл	เบลล์
ребенка	กุมาร
ребенка	เด็ก
динозавров	ไดโนเสาร์
раскрывает	เผย
беда	ปัญหา
равновесия	สมดุล
психологической	จิตวิทยา
переулке	ซอย
переулке	ตรอก
индийская	อินเดีย
саудовская	ซาอุดิอาระเบีย
нити	ด้าย
жду	รอ
фотоаппарат	กล้อง
линн	ลิน
слуга	บ่าว
шутка	มุก
шутка	อำ
шутка	มุข
шутка	ตลก
смешно	สาระ
смешно	ตลก
смешно	ขัน
смешно	ขำ
отправлено	ส่ง
злой	โกรธ
злой	โมโห
закрытых	ล้อม
дуги	อาร์ค
африканского	แอฟริกา
дача	กระท่อม
шерсти	ฝอย
патроны	กระสุน
патроны	ตลับ
ринг	วงแหวน
ринг	ริง
ринг	แหวน
пыли	ฝุ่น
кайл	ไคล์
кайл	ไค
кайл	ไคล
проповеди	เทศน์
инвестиции	ลงทุน
губы	ปาก
туман	หมอก
сравнивать	เทียบ
радости	จอย
используйте	ใช้
боба	บ็อบ
град	บัณฑิต
град	ลูกเห็บ
просвещение	ตรัสรู้
холст	ผ้าใบ
поглощения	หมก
равные	เท่ากับ
минимальный	น้อย
внешность	ลักษณะ
пожертвования	บริจาค
дикий	ดุดัน
понравилось	ถูกใจ
вращение	ปั่น
вращение	หมุน
лестница	บันได
обещание	สัญญา
корейский	เกาหลี
контекст	บริบท
жалобы	บ่น
импульс	ชีพจร
оккупация	อาชีพ
феникс	ฟีนิกซ์
слабые	อ่อน
слабые	อ่อนแอ
бросить	สละ
бросить	โยน
бросить	ขว้าง
бросить	ทิ้ง
бросить	เลิก
бросить	ละทิ้ง
просьбы	คำขอ
польза	ประโยชน์
мусульманских	มุสลิม
демонстрация	สาธิต
роуд	ถนน
гость	แขก
уверенность	มั่นใจ
патологии	พยาธิ
австралийская	ออสเตรเลีย
тысяча	พัน
колонизации	นิคม
сбежать	หนี
сокровища	สมบัติ
минералов	แร่
малайзия	มาเลเซีย
берн	เบิร์น
тяжелые	หนักๆ
тяжелые	หนัก
акула	ฉลาม
интерпретация	ตีความ
интерпретация	ทำนาย
развитых	พัฒนา
рут	ราก
рут	รูท
умереть	ตาย
поездка	ขี่
поездка	ทริป
конференцию	ประชุม
стальной	เหล็ก
физическое	กายภาพ
каспийского	แคสเปียน
рассмотрим	พิจารณา
стоп	หยุด
понедельник	จันทร์
демократы	ประชาธิปไตย
обязанность	หน้าที่
листы	ผ้าปูที่นอน
обращает	วาด
шторм	พายุ
толпа	มาเฟีย
регулирование	ระเบียบ
пропаганду	โฆษณาชวนเชื่อ
нормальное	ปกติ
нормальное	ธรรมดา
нормальное	ปรกติ
слабым	อ่อน
слабым	อ่อนแอ
лишены	ขาดแคลน
яйцо	ไข่
подчеркнуть	ไฮไลท์
подчеркнуть	ไฮไลต์
подчеркнуть	เน้น
