மற்றும்	et
தீர்ப்பை	jugement
வைத்திருந்தது	gardé
முகவரியை	allocution
முகவரியை	adresse
வோல்ட்	volts
பைன்	pin
நிறுவுதல்	montage
டவர்	tour
தனியுரிமை	confidentialité
தனியுரிமை	intimité
அடைதல்	rodage
அணிவகுப்பு	défilé
கேமரா	appareil
கேமரா	caméra
இறுதியான	définitif
இறுதியான	finale
இறுதியான	définitive
இறுதியான	ultimes
இறுதியான	ultime
போக்குகள்	tendances
உணரப்பட்டது	réalisé
சாலமன்	salomon
மட்டை	batte
வெளியேற்றி	éjecter
வெளியேற்றி	éjection
சிந்தனையாளர்	penseur
சிகரெட்	cigarettes
சிகரெட்	clope
காரம்	épicé
காரம்	piquante
காரம்	épicée
காரம்	piquant
வேன்	fourgon
வேன்	fourgonnette
வேன்	camionnette
மூத்தவர்	seniors
மூத்தவர்	aîné
வெண்ணெய்	beurre
மரியாள்	madeleine
சிங்கர்	chanteuse
சிங்கர்	chanteur
இடையிலுள்ள	authenticité
நிழல்கள்	ombres
நிழல்கள்	ombre
கலவரங்கள்	émeutes
குடிசை	hutte
குடிசை	baraque
குடிசை	cabane
புதுப்பிக்கப்பட்டது	actualisé
அனிமேஷன்	animées
அனிமேஷன்	animé
அனிமேஷன்	animés
அனிமேஷன்	animée
தேரை	crapaud
மூவி	film
கொள்வனவு	achats
பேரிடர்	catastrophes
பேரிடர்	catastrophe
பேரிடர்	désastre
பேரிடர்	sinistre
எறும்புகள்	fourmis
தட்டி	robinet
தட்டி	touchez
தட்டி	appuyez
உபயோகம்	utilité
உபயோகம்	utilitaire
உபயோகம்	utilisation
மெழுகு	cire
வெளிப்புறம்	exterieur
வெளிப்புறம்	extérieur
வெளிப்புறம்	extérieurs
வெளிப்புறம்	extérieure
வெளிப்புறம்	extérieures
ஹாக்	faucon
ஹாக்	buse
காய்ந்த	sèches
காய்ந்த	sèche
காய்ந்த	secs
காய்ந்த	sec
காய்ந்த	sécher
பயங்கரவாத	terrorisme
பயங்கரவாத	terreur
செயற்பட	fonctionnel
செயற்பட	fonctionnelle
செயற்பட	fonctionnels
சொத்துரிமை	propriété
சொத்துரிமை	appropriation
பட்டர்	beurre
அனுபவத்தை	expérience
அனுபவத்தை	expériences
பாராட்டும்	appréciation
குறைந்தளவு	conservateurs
குறைந்தளவு	conservatrice
குறைந்தளவு	conservatisme
குறைந்தளவு	conservateur
சக்திவாய்ந்த	puissantes
சக்திவாய்ந்த	puissant
சக்திவாய்ந்த	puissante
சக்திவாய்ந்த	puissants
திங்கட்கிழமை	lundi
தனிநபர்கள்	individus
தனிநபர்கள்	individuels
தனிநபர்கள்	particuliers
ஆண்குறி	pénis
படைத்தவர்	créatrice
படைத்தவர்	créateur
கொள்கலன்	contenus
கொள்கலன்	conteneur
கொள்கலன்	contenu
கொள்கலன்	récipient
அடிப்படைகள்	bases
அடிப்படைகள்	fondamentaux
அடிப்படைகள்	basique
அடிப்படைகள்	fondements
அடிப்படைகள்	basiques
கூந்தல்	coiffure
கூந்தல்	cheveux
கூந்தல்	cheveu
மறையும்	cache
மறையும்	cacher
மறையும்	masquer
அருமை	fantastique
அருமை	fantastiques
அருமை	superbe
அருமை	joli
அருமை	gentil
அருமை	jolie
அருமை	superbes
அருமை	sympa
இயங்கியல்	opérationnelles
இயங்கியல்	opérationnels
இயங்கியல்	opérationnel
இயங்கியல்	opérationnelle
மகனே	fils
மகனே	fiston
கரிய	foncés
குழப்பங்கள்	conflits
குழப்பங்கள்	conflit
விருப்பப்படி	personnalisé
விருப்பப்படி	coutume
விருப்பப்படி	personnalisés
விருப்பப்படி	personnalisée
ஊடுருவும்	pénétré
உள்ளடக்கங்கள்	contenu
உள்ளடக்கங்கள்	sommaire
உள்ளடக்கங்கள்	contenus
இரக்கம்	compatissant
வானவில்	arc
ஓசியானியா	océanie
எட்வார்ட்	édouard
நகை	bijou
நகை	joyau
நகை	joaillerie
நகை	bijouterie
நகை	bijoux
சொந்தம்	propre
சொந்தம்	propres
சொந்தம்	posséder
தொடும்	touchant
தொடும்	touchante
தொடும்	toucher
ஆரோக்கியம்	santé
ஆரோக்கியம்	sante
பாஸ்பரஸ்	phosphore
மாறிகள்	variables
நுண்ணோக்கி	microscopie
வாழ்வது	vivante
வாழ்வது	vivants
வாழ்வது	vivant
வாழ்வது	vivre
வெற்றிபெற்று	gagnés
வெற்றிபெற்று	gagnées
வெற்றிபெற்று	gagné
வெற்றிபெற்று	gagnée
ஓவல்	ovale
மேலாளராக	gestionnaire
மேலாளராக	directeur
மேலாளராக	directrice
மேலாளராக	gérant
சலுகை	offre
சலுகை	offrir
ரசாயன	chimiques
ரசாயன	chimique
ஸ்வீடன்	suède
லாக்	verrou
லாக்	écluse
லாக்	verrouiller
லாக்	serrure
லாக்	bûche
கரோலினா	caroline
செலுத்தப்பட்டது	rémunéré
செலுத்தப்பட்டது	payés
செலுத்தப்பட்டது	payées
செலுத்தப்பட்டது	payé
செலுத்தப்பட்டது	payée
அந்தோனியார்	antoine
பள்ளிக்கூடம்	ecole
பள்ளிக்கூடம்	école
வர்ணம்	peinte
வர்ணம்	peint
வர்ணம்	peintes
வர்ணம்	peints
ரோஜாக்கள்	rosiers
மாட்	mat
மாட்	matthieu
சொத்துகள்	actifs
சொத்துகள்	actif
டிரைவ்	lecteur
டிரைவ்	conduire
ஒதுக்கப்பட்டது	réservés
ஒதுக்கப்பட்டது	réservée
ஒதுக்கப்பட்டது	étranglé
ஒதுக்கப்பட்டது	réservé
ஒதுக்கப்பட்டது	étouffé
பாடுகிறார்	chant
பாடுகிறார்	chante
பாடுகிறார்	chanter
போயர்	boers
ஒப்பனை	maquillage
ஒப்பனை	cosmétique
ஒப்பனை	maquiller
ஒப்பனை	cosmétiques
தாமிரம்	cuivre
ஆந்தை	chouettes
ஆந்தை	chouette
ஆந்தை	hibou
அணிந்துரை	préface
பிரபலங்கள்	célébrités
நீளமாக	collante
நீளமாக	collant
நீளமாக	collants
நிணநீர்	lymphatiques
குச்சி	bâton
இனக்குழு	ethnie
இனக்குழு	ethnique
இனக்குழு	ethnicité
பக்கவாட்டில்	latéralement
கொன்றார்	tué
கொன்றார்	tués
கொன்றார்	tuée
இருத்தலியல்	existentielle
கிரியோல்	créole
காளான்	champignon
காளான்	champignons
போதைப்பொருள்	médicament
போதைப்பொருள்	drogue
துணிகள்	toiles
துணிகள்	tissus
இடித்து	accidenté
இடித்து	écrasé
இடித்து	crashé
மதங்கள்	cultes
ஓடுகள்	carrelage
ஓடுகள்	tuiles
ஓடுகள்	carreaux
இயக்கிகள்	conducteur
இயக்கிகள்	chauffeurs
இயக்கிகள்	conducteurs
இயக்கிகள்	pilotes
பிலடெல்பியா	philadelphie
இரங்கல்	condoléances
கடிகாரங்கள்	horlogerie
கடிகாரங்கள்	montres
எலுமிச்சை	chaux
எலுமிச்சை	citron
எலுமிச்சை	citrons
மனிதனும்	âmes
மனிதனும்	âme
மனிதனும்	ame
பதக்கங்களை	médailles
ரீட்	roseaux
ஆனந்தம்	joie
மார்க்கம்	religieux
காய்கறி	végétal
காய்கறி	légume
காய்கறி	légumes
முதிர்ச்சி	échéance
முதிர்ச்சி	maturité
வழங்கவும்	fournissent
வழங்கவும்	fournir
சிட்ரிக்	citrique
குறும்படம்	icônes
குறும்படம்	icône
குறும்படம்	miniature
குறும்படம்	vignette
நீரியல்	hydrologie
இலைகளை	feuilles
அசுரன்	monstre
அசுரன்	monstrueuse
அசுரன்	monstrueux
நிழலில்	ombrage
நிழலில்	ombre
நிழலில்	teinte
நிழலில்	abat
செயல்படுத்துகிறது	traitement
செயல்படுத்துகிறது	transformation
சளி	froid
சளி	rhume
சளி	froide
சளி	froids
கொடூரமான	brutale
கொடூரமான	cruels
கொடூரமான	cruelle
கொடூரமான	cruelles
தூதுவர்	ambassadrice
தூதுவர்	ambassadeur
செக்ஸ்	sexe
பாலினம்	sexe
பாலினம்	genre
பாலினம்	sexes
குணப்படுத்தும்	guérison
குணப்படுத்தும்	guérir
குணப்படுத்தும்	cicatrisation
கைபேசி	cellules
கைபேசி	portable
கைபேசி	cellule
முரணாக	ironie
முரணாக	ironique
காலாண்டு	trimestrielles
காலாண்டு	trimestriellement
காலாண்டு	quart
காலாண்டு	trimestrielle
காலாண்டு	trimestre
காலாண்டு	trimestriel
காலாண்டு	trimestriels
புலங்கள்	domaines
புலங்கள்	champs
அன்னிய	étrangère
அன்னிய	étrangères
அன்னிய	etranger
அன்னிய	étranger
பரவுகிறது	écarts
ஏறு	grimper
மரபை	héritage
மரபை	legs
புகலிடம்	protégé
சவாலாக	contesté
சவாலாக	contestées
சவாலாக	défié
சவாலாக	contestée
எண்ணங்களை	réflexions
எண்ணங்களை	pensées
மடிப்பு	enrouler
அளவுகோல்	echelle
அளவுகோல்	échelle
புதுப்பிக்கத்தக்க	renouvelable
புதுப்பிக்கத்தக்க	renouvelables
மாயன்	mayas
குணப்படுத்த	guérir
குணப்படுத்த	soigné
குணப்படுத்த	guéri
குணப்படுத்த	remède
குணப்படுத்த	guérison
குணப்படுத்த	guéris
குணப்படுத்த	guérie
ரோல்	rouleau
ரோல்	rouler
முதுகெலும்பு	épine
பாக்கியம்	béni
பாக்கியம்	bénis
பாக்கியம்	bénie
பாக்கியம்	bienheureux
சிறகு	ailes
சிறகு	aile
சிறகு	escadre
சிறகு	ailier
பட்டாணி	pois
அங்கீகரிக்கப்பட்டது	approuvé
அங்கீகரிக்கப்பட்டது	approuvées
அங்கீகரிக்கப்பட்டது	approuvés
அங்கீகரிக்கப்பட்டது	agréé
அங்கீகரிக்கப்பட்டது	agréée
அங்கீகரிக்கப்பட்டது	approuvée
ஆற்றலும்	énergies
ஆற்றலும்	energie
ஆற்றலும்	énergie
கூட்டுக்	combinés
கூட்டுக்	combinées
கூட்டுக்	combiné
கூட்டுக்	combinée
ஆக்கி	transformateur
ஆக்கி	processeurs
ஆக்கி	processeur
நிபுணத்துவம்	compétences
நிபுணத்துவம்	expertises
கற்பு	chasteté
கவர்ந்தது	inspire
ஈடன்	éden
கொன்றது	tué
கொன்றது	tués
கொன்றது	tuée
அதிகபட்சம்	maximum
அதிகபட்சம்	maximales
அதிகபட்சம்	maximale
அதிகபட்சம்	maxime
அதிகபட்சம்	maximal
அதிகபட்சம்	maxi
சுருங்கி	psy
சுருங்கி	rétrécir
கிட்	trousse
கிட்	kits
செய்தியாளர்	presse
செய்தியாளர்	journaliste
செய்தியாளர்	appuyez
வகுத்தது	pavée
வகுத்தது	pavé
மறியல்	piquet
சிப்	jeton
சிப்	puce
கேளிக்கை	divertissement
கேளிக்கை	divertissements
கேளிக்கை	récréation
கேளிக்கை	loisirs
பந்துகள்	couilles
பந்துகள்	boules
பந்துகள்	ballons
பந்துகள்	billes
பந்துகள்	balles
குறிப்பேடு	enregistreur
பருவங்கள்	saisons
குடியேற்றவாத	colonisation
குடியேற்றவாத	colonialisme
வாத	terrorisme
வாத	terreur
மூவாக்சைடு	trioxyde
தொட்டில்	berceau
புண்கள்	plaies
வாசம்	complaisance
வாசம்	souffle
வாசம்	respiration
வாசம்	gourmandise
வாசம்	haleine
கோளம்	sphère
திரையரங்கு	théâtres
திரையரங்கு	théatre
திரையரங்கு	théâtre
பின்புலம்	fond
பின்புலம்	contexte
பின்னோக்கி	arriéré
பின்னோக்கி	reculer
தத்து	onglets
தத்து	tabulation
தத்து	onglet
தனிமையில்	seule
தனிமையில்	solitaire
தனிமையில்	seuls
தனிமையில்	solitude
தனிமையில்	seul
தனிமையில்	solitaires
பார்வைகள்	visites
பார்வைகள்	vues
பார்வைகள்	affichages
பளிங்கு	bille
பளிங்கு	marbre
பளிங்கு	marbres
மனிதர்களும்	humains
வாக்கியம்	peine
வாக்கியம்	phrase
சொற்பொருள்	sémantique
எதிரானது	contre
அனுப்புகிறது	envoyant
அனுப்புகிறது	envoi
சுமேரிய	sumérien
கலந்துகொண்டார்	allé
கலந்துகொண்டார்	participé
துவக்கி	lanceur
பூனைகள்	chats
வார்சா	varsovie
புள்ளிவிவரம்	statistique
புள்ளிவிவரம்	statistiques
மார்க்கெட்	marché
கணங்கள்	instants
சோமாலியா	somalien
சோமாலியா	somalie
படத்தொகுப்பு	collages
மீனவர்	pêcheur
மீனவர்	pêcheurs
பென்சீன்	benzène
இருக்கவும்	rester
இருக்கவும்	reste
இருக்கவும்	séjour
துல்லியம்	précision
குவளை	chope
குவளை	tasse
தொழிற்சாலையில்	usine
தொழிற்சாலையில்	fabrique
ராக்கெட்	roquette
ராக்கெட்	roquettes
ராக்கெட்	fusées
ராக்கெட்	fusée
ஆல்ப்ஸ்	alpes
வித்து	graines
வித்து	graine
வித்து	semence
வித்து	semences
பானங்கள்	boisson
பானங்கள்	boissons
நினைக்கும்	réfléchis
நினைக்கும்	pense
நினைக்கும்	pensez
நினைக்கும்	penser
நினைக்கும்	réfléchir
பெயர்ச்சி	remplacez
பெயர்ச்சி	remplacer
பெயர்ச்சி	remplace
பெயர்ச்சி	remplacement
தற்செயலாக	involontairement
தற்செயலாக	accidentellement
நாட்டினர்	compatriotes
சமத்துவம்	neutralité
சமத்துவம்	egalité
சமத்துவம்	égalité
நடனங்கள்	danses
விடு	goutte
விடு	partir
விடு	congés
விடு	laisser
விடு	quitter
விடு	congé
அன்ட்ரூ	andré
நெருங்கி	approcher
நெருங்கி	approchant
பாலைவனத்தில்	désert
பாலைவனத்தில்	désertique
லூசியானா	louisiane
கரைப்பான்	solvable
கரைப்பான்	solvants
கரைப்பான்	solvant
எறிந்து	coulé
எறிந்து	plâtre
எறிந்து	jeté
எறிந்து	coulée
கலீபா	calife
தந்திரம்	astuce
அறிவார்ந்த	intelligente
அறிவார்ந்த	intelligents
அறிவார்ந்த	intelligentes
மதிப்பாய்வு	revue
மதிப்பாய்வு	révision
மதிப்பாய்வு	examen
மதிப்பாய்வு	modération
குவான்	pénélope
நேர்மை	honnêteté
பொறாமை	jaloux
பொறாமை	envie
பொறாமை	jalouse
பொறாமை	envier
பொறாமை	envieux
பொறாமை	jalousie
கச்சா	brut
வரவிருக்கும்	prochaines
வரவிருக்கும்	prochains
அவுட்லுக்	perspectives
அவுட்லுக்	perspective
சூசன்	sylvie
காமெடி	comique
காமெடி	comédie
நையாண்டி	satirique
கமிட்டி	comité
தீராத	chronique
தீராத	chroniques
வைக்கோல்	paille
வைக்கோல்	pailles
ஆயுர்வேத	ayurvédique
முத்துக்கள்	perles
ஆமைகள்	tortues
அலெக்சாந்திரியா	alexandrie
மென்பொருளில்	désactive
சாதாரணமான	médiocres
சாதாரணமான	médiocre
புள்ளிவிவர	statistique
ஜூலியஸ்	jules
ஈஸ்ட்	levure
ஈஸ்ட்	levures
பரிணாமம்	évolution
பங்கேற்பு	assister
சோலார்	solaire
சோலார்	solaires
மேகங்கள்	nuages
கேம்ஸ்	jeux
நீரோ	néron
பூத	physique
பூத	physiques
நெரிசல்	embouteillages
நெரிசல்	encombrement
நெரிசல்	ruée
நெரிசல்	encombrements
கடலியல்	océanographie
இறைவனிடம்	seigneur
மிதவை	flotter
மிதவை	flottante
மிதவை	flottants
மிதவை	flottant
முதலீட்டாளர்	investisseur
முதலீட்டாளர்	investisseurs
உணரிகள்	sondes
உணரிகள்	capteurs
உணரிகள்	détecteurs
உணரிகள்	capteur
சோர்வு	fatiguée
சோர்வு	fatigué
சோர்வு	marre
சோர்வு	fatigués
சோர்வு	lassitude
திறக்க	ouvrir
திறக்க	ouvert
திறக்க	ouverte
திறக்க	ouvrez
திறக்க	ouverture
வானியற்பியல்	astrophysique
குழப்பத்தை	sédition
இடைவெளிகள்	espaces
இரவும்	nuit
இரவும்	soirée
இரவும்	soir
அத்தியாவசிய	indispensable
அத்தியாவசிய	essentiels
அத்தியாவசிய	essentiel
அத்தியாவசிய	essentielle
அத்தியாவசிய	essentielles
ஏதுமில்லை	aucune
ஏதுமில்லை	aucun
ஏதுமில்லை	néant
தெருக்கள்	rues
கீரை	épinards
சன்னி	ensoleillée
சன்னி	ensoleillées
சன்னி	ensoleillé
பாதுகாக்கவும்	protéger
பாதுகாக்கவும்	protège
பாதுகாக்கவும்	protègent
பாதுகாக்கவும்	protégez
படையணி	bataillon
மோட்சம்	dévotion
மோட்சம்	dévouement
பயிற்சியாளர்கள்	coachs
பயிற்சியாளர்கள்	autocars
பயிற்சியாளர்கள்	entraîneurs
பேசுகிறது	parle
பேசுகிறது	parlant
ஈடுபட்டுள்ள	fiancée
ஈடுபட்டுள்ள	fiancé
ஈடுபட்டுள்ள	engagés
ஈடுபட்டுள்ள	engagée
ஈடுபட்டுள்ள	fiancés
ஈடுபட்டுள்ள	engagé
ஏழ்மை	pauvreté
உடற்கூறு	anatomie
புவிவெப்ப	géothermique
புவிவெப்ப	géothermie
புவிவெப்ப	géothermiques
பயங்கர	épouvantable
பயங்கர	horrible
பயங்கர	affreux
மேலாளர்கள்	directeurs
மேலாளர்கள்	dirigeants
மேலாளர்கள்	gestionnaires
மீதம்	équilibre
மீதம்	restant
மீதம்	restantes
மீதம்	restants
மீதம்	gauche
மீதம்	solde
பீச்	hêtre
பீச்	pêches
பீச்	pêche
பீச்	pêcher
நெற்றியில்	front
பொறுப்பான	responsable
பொறுப்பான	responsables
கன்று	veau
கன்று	mollet
தீவிரவாதம்	terrorisme
குறுக்கீடு	interférence
குறுக்கீடு	ingérence
குறுக்கீடு	interrompre
குறுக்கீடு	interférences
எள்	sésame
வடிவமைக்க	configurer
எட்ஜ்	bordure
எட்ஜ்	bord
எட்ஜ்	arête
செய்கிறான்	cause
பிளந்து	fente
பிளந்து	fendu
மாவீரன்	guerrier
மாவீரன்	guerrière
டொமினிக்கன்	dominicain
டொமினிக்கன்	dominicaine
வாருங்கள்	venez
வாருங்கள்	viens
வாருங்கள்	venir
ஆன்மீகம்	spirituelle
ஆன்மீகம்	spirituelles
ஆன்மீகம்	spirituel
உள்நாட்டில்	localement
வியூகம்	stratégie
மாம்பழம்	mangues
மாம்பழம்	mangue
கழுதை	ane
கழுதை	âne
கழுதை	ânes
வயிற்றுப்போக்கு	diarrhée
வயிற்றுப்போக்கு	diarrhées
முஸ்தபா	mustapha
நம்பிக்கையுடன்	espérer
நம்பிக்கையுடன்	espérant
நம்பிக்கையுடன்	espérons
கிரகம்	planète
கிரகம்	planete
தலைக்கு	tête
தலைக்கு	têtes
மாறிவிட்டது	changé
மாறிவிட்டது	changée
பொறித்த	frite
பொறித்த	friture
பொறித்த	frit
பொறித்த	grillé
நிக்கோலஸ்	nicolas
கொரில்லா	gorille
கொரில்லா	gorilles
நானா	mamie
மோகம்	passions
தெரிவித்துக்	visité
தெரிவித்துக்	visités
தெரிவித்துக்	visitée
கால்நடைகள்	bovins
கால்நடைகள்	bétail
நாளைய	demain
சந்தர்ப்பம்	contexte
சிக்னல்	signaux
சிக்னல்	clignotant
மோடம்	moderne
கிளென்	vallon
காபூல்	kaboul
அரிவாள்	faucille
பேச்சாளர்கள்	enceintes
பேச்சாளர்கள்	orateurs
பேச்சாளர்கள்	intervenants
பேச்சாளர்கள்	conférenciers
எலிகள்	souris
வைன்	vins
வைன்	vin
பட்டினி	famine
விரிவாக்கி	audace
பழமொழிகள்	proverbes
திறக்கும்	vernissage
திறக்கும்	ouverture
அசிட்டேட்டு	acétate
மருமகன்	neveu
கிரகங்கள்	planètes
கிரகங்கள்	planete
காவி	safran
நாட்டியம்	danse
நாட்டியம்	danser
நிறைவுற்ற	saturé
நிறைவுற்ற	saturés
நிறைவுற்ற	saturée
நிறைவுற்ற	saturées
கடனை	endettement
கடனை	dettes
கடனை	dette
உபரி	excédents
உபரி	figurants
உபரி	suppléments
உபரி	excédent
உபரி	excédentaires
குட்டிகள்	oursons
குட்டிகள்	chiots
ஓவியத்தை	peintures
ஓவியத்தை	peinture
மணமகள்	epouse
மணமகள்	fiancée
மணமகள்	mariée
மணமகள்	épouse
சின்னப்பர்	thèbes
நிரூபிக்க	prouver
நிரூபிக்க	prouve
நிரூபிக்க	prouvez
சொல்லாட்சி	rhétorique
அலங்கரிக்கப்பட்ட	décoré
அலங்கரிக்கப்பட்ட	décorés
அலங்கரிக்கப்பட்ட	décorées
அலங்கரிக்கப்பட்ட	décorée
ஒலிகள்	sons
ஒலிகள்	bruits
ஜோர்டான்	jordanie
ஜோர்டான்	jourdain
ஜோர்டான்	jordanienne
பிரபஞ்சம்	univers
பிரபஞ்சம்	galaxie
சிறுநீரகம்	rein
சிறுநீரகம்	reins
சிறுநீரகம்	rénale
மறக்க	oublions
மறக்க	oublier
மறக்க	oubliez
மறக்க	oubli
மறக்க	oublie
சுயசரிதை	biographiques
சுயசரிதை	biographie
ரூபி	rubis
அத்தை	tante
அத்தை	tatie
அத்தை	tata
துரோகம்	trahison
சரியா	droit
சரியா	droite
பிட்டு	bits
பக்கத்து	voisine
பக்கத்து	voisin
அவகாசம்	répit
ஆரியர்	aryenne
ஆரியர்	aryens
படுக்கையில்	lit
விவசாயி	fermier
விவசாயி	agriculteur
விவசாயி	paysan
வழங்குநர்	prestataire
வழங்குநர்	hôte
வழங்குநர்	fournisseur
பதினொன்று	onze
வெளிநாட்டில்	etranger
திறமைகளை	aptitudes
இரகசியமாக	secrètement
முன்னேற்றத்தை	progresser
முன்னேற்றத்தை	progression
முன்னேற்றத்தை	progrès
முன்னேற்றத்தை	avancement
முகமூடி	masquer
முகமூடி	masque
முகமூடி	masques
வியாபாரிகள்	vendeurs
வியாபாரிகள்	fournisseurs
மொழிபெயர்க்கப்பட்டது	traduite
மொழிபெயர்க்கப்பட்டது	traduites
மொழிபெயர்க்கப்பட்டது	traduits
மொழிபெயர்க்கப்பட்டது	traduit
பட்லர்	majordome
காட்டப்பட்டது	ignorer
காட்டப்பட்டது	rejeter
காட்டப்பட்டது	jeter
காட்டப்பட்டது	montré
காட்டப்பட்டது	abandonner
தந்தையர்	pères
முபாரக்	moubarak
லூக்	luc
பொய்யான	fausse
பொய்யான	imposteur
பொய்யான	faux
பொய்யான	fausses
பொய்யான	simuler
தேவாலயங்கள்	eglises
தேவாலயங்கள்	églises
மல்யுத்தம்	lutter
மல்யுத்தம்	catch
மல்யுத்தம்	lutte
டோ	orteil
டோ	tep
இழப்பீடு	rémunération
இழப்பீடு	indemnisation
இழப்பீடு	dédommagement
இழப்பீடு	indemnité
கோலங்கள்	dessins
நீட்டிப்பு	étendre
நீட்டிப்பு	prolonger
வினைச்சொல்	verbes
வினைச்சொல்	verbe
அல்ஜீரியா	algérie
குளிர்காலம்	hiver
குளிர்காலம்	hivers
குறிப்பான	spécifique
குறிப்பான	spécifiques
காத்துக்	attente
காத்துக்	attendre
காத்துக்	attendant
செதுக்கப்பட்ட	sculpté
செதுக்கப்பட்ட	taillé
செதுக்கப்பட்ட	sculptés
செதுக்கப்பட்ட	taillée
செதுக்கப்பட்ட	gravé
டோம்	dôme
டோம்	coupole
ஆராய்ச்சியாளர்	chercheur
ஆராய்ச்சியாளர்	chercheuse
பத்திரிக்கையாளர்	journaliste
பங்குதாரர்கள்	intervenants
புரூக்	ruisseau
உற்பத்தியாளர்	fabricant
உற்பத்தியாளர்	constructeur
உற்பத்தியாளர்	manufacturier
புதன்கிழமை	mercredi
கொரியன்	coréen
கொரியன்	coréens
கொரியன்	coréenne
முன்னொட்டு	préfixe
விவகாரம்	scandales
விவகாரம்	scandale
முதலாளித்துவ	capitaliste
முதலாளித்துவ	capitalistes
அடித்தளமாக	punie
பயோடீசல்	biocarburant
பாடு	chantons
பாடு	chante
பாடு	chanter
கொதிக்க	ébullition
கொதிக்க	bouillir
பண்டார	pandore
கிடங்கு	entrepôts
கிடங்கு	dépôt
கிடங்கு	référentiel
கிடங்கு	entrepôt
சொட்டு	goutte
சோடா	soude
பொருந்தாத	inégalée
பொருந்தாத	inégalé
பயங்கரமான	terrifiant
பயங்கரமான	épouvantable
பயங்கரமான	horrible
பயங்கரமான	affreux
பயங்கரமான	effrayante
பயங்கரமான	effrayant
மலரின்	écrase
பொறுத்தே	dépendra
பொறுத்தே	dépend
சிறப்பானது	vedette
சிறப்பானது	recommandés
சிறப்பானது	vedettes
குங்குமப்பூ	safran
வெனிலா	vanille
உரையாற்றினார்	adressée
உரையாற்றினார்	adressé
வழித்தடங்கள்	itinéraires
துறவறம்	sainte
குடிக்கும்	potable
குடிக்கும்	boire
குடிக்கும்	boisson
பார்க்கப்பட்டது	vus
பார்க்கப்பட்டது	surveillés
பார்க்கப்பட்டது	regardé
பார்க்கப்பட்டது	visionné
பார்க்கப்பட்டது	regardée
பார்க்கப்பட்டது	vu
பார்க்கப்பட்டது	regardées
காப்பாளர்	responsable
கையாளுதல்	manipulation
கையாளுதல்	manipulations
கையாளுதல்	maniabilité
கையாளுதல்	manutention
கையாளுதல்	manipuler
வழங்குவதில்	fournissant
அடித்தள	cave
ரைடர்ஸ்	cavaliers
ரைடர்ஸ்	coureurs
குடிமகன்	citoyen
குடிமகன்	citoyenne
பேராசிரியர்கள்	professeurs
பேராசிரியர்கள்	profs
உருகிய	fondus
உருகிய	fondu
உருகிய	fondue
பால்டிக்	baltique
பால்டிக்	baltes
ஏற்கப்பட்டது	accepté
ஏற்கப்பட்டது	acceptés
ஏற்கப்பட்டது	acceptée
ஏற்கப்பட்டது	acceptées
அரசுகளும்	gouvernements
சுடும்	tireur
ஜாதி	castes
நிறுத்தங்கள்	arrêts
பர்	bavure
ஈரம்	humide
ஈரம்	humides
ஈரம்	mouillés
ஈரம்	mouillé
ஈரம்	mouillée
மிருகங்கள்	animaux
விதிவிலக்கு	exception
விதிவிலக்கு	dérogations
குறிப்பை	notez
குறிப்பை	remarque
ஜார்ஜியா	géorgie
ஜார்ஜியா	georgie
சிறகுகள்	ailes
சிறகுகள்	plumes
காகம்	corneille
காகம்	corbeau
காகம்	corbeaux
அசலான	immaculé
ஜிகாத்	djihad
பையன்	garçon
பையன்	mec
பையன்	gars
மெய்யான	originale
மெய்யான	originaux
பெக்	mendier
பெக்	supplie
பெக்	supplier
சுற்றுகள்	rondes
சுற்றுகள்	ronds
குறும்படங்கள்	icônes
குரல்கள்	voix
சிண்ட்ரெல்லா	cendrillon
தோட்டக்கலை	jardinage
தோட்டக்கலை	horticoles
தோட்டக்கலை	horticole
தீவுக்கூட்டம்	archipel
அலைந்து	errer
இஞ்சி	roux
இஞ்சி	gingembre
இஞ்சி	rousse
கணவனை	mari
காசநோய்	tuberculose
பெல்ஜிய	belges
பெல்ஜிய	belge
சமரசம்	compromettre
சமரசம்	compromis
பணியாளர்களின்	salariés
பணியாளர்களின்	personnel
பணியாளர்களின்	collaborateurs
பணியாளர்களின்	employés
முந்திரி	cajou
தோராயமான	rude
தோராயமான	bruts
திறமைகள்	aptitudes
திறமைகள்	compétences
விஷம்	empoisonner
விஷம்	empoisonné
விஷம்	poisons
பீங்கான்	porcelaine
மதிப்புறு	littéral
மதிப்புறு	littérale
விஸ்கி	whisky
பேனா	plume
பேனா	stylos
பேனா	stylo
திணிப்பு	décharge
திணிப்பு	dépotoir
மாஸ்	masse
மாஸ்	messe
குத்து	poinçon
நட்டு	noix
நட்டு	écrou
ஊழி	époque
சொகுசு	luxe
நம்பத்தகுந்த	fidèlement
யே	youpi
சேகரிக்க	collectionner
சேகரிக்க	rassembler
சேகரிக்க	ramasser
சேகரிக்க	collecter
சேகரிக்க	recueillir
சுவடுகள்	sentiers
உகாண்டா	ouganda
கருக்கலைப்பு	avortements
கருக்கலைப்பு	avortement
கர்ப்பப்பை	cervicales
கர்ப்பப்பை	cervicale
காத்மாண்டு	katmandou
இரவுகள்	nuitées
இரவுகள்	soirs
இரவுகள்	nuits
செவ்வாய்க்கிழமை	mardi
பரிசுத்த	saintes
பரிசுத்த	sacré
பரிசுத்த	sainte
பரிசுத்த	saint
