در	ประตู
ارتقا	โปรโมชัน
ارتقا	กระตุ้น
آش	แอช
غروب	เย็น
ساعات	ชั่วโมง
اپیزود	ตอน
زیتون	มะกอก
ارقام	ตัวเลข
ارواح	ผี
کیسه	กระเป๋า
کیسه	แบ็ค
کیسه	ถุง
ببر	เสือ
ببر	เสือก
نوه	หลาน
یادداشت	บันทึก
یادداشت	หมายเหตุ
یادداشت	โน้ต
حجاب	ม่าน
حجاب	ปกคลุม
حجاب	มิติ
مکانیسم	กลไก
هاکی	ฮอกกี้
شکاف	ร้าว
شکاف	ร่อง
شکاف	ล็อต
کاشت	ปลูก
پاکسازی	ขจัด
خوشه	คลัสเตอร์
خوشه	หู
گنجینه	สมบัติ
بنزین	น้ำมัน
ماسه	ทราย
ویرجین	เวอร์จิน
ویرجین	จิ้น
نیلوفر	โลตัส
خلبانان	นักบิน
اسکاتلندی	สกอตแลนด์
کرون	มงกุฎ
کوری	ตาบอด
اسطوره	ตำนาน
باختر	เวสต์
رنه	เรเน่
شهادت	พยาน
آزادراه	ทางด่วน
آزادراه	มอเตอร์เวย์
صخره	หน้าผา
صخره	หิน
صخره	ร็อค
صخره	โยก
آتلانتیک	แอตแลนติก
اظهارات	คำแถลง
اظهارات	statement
عضلانی	กล้าม
پیغام	จดหมาย
پیغام	ข้อความ
قوس	อาร์ค
یونگ	ยัง
یونگ	จุง
یونگ	จอง
دزد	ขโมย
دزد	โจร
استادی	อาจารย์
پروازی	ฟลาย
پروازی	บิน
حاد	เฉียบพลัน
پشم	ฝอย
دعا	ภาวนา
دیوانه	โมโห
دیوانه	เพี้ยน
دیوانه	บ้า
دیوانه	โกรธ
دیوانه	วิกลจริต
قرص	เม็ด
عادت	นิสัย
گیم	เกม
گیم	เกมส์
ساقه	ก้าน
راهپیمایی	มีนาคม
راهپیمایی	มาร์ช
نروژی	นอร์เวย์
ویولن	ไวโอลิน
شجاع	กล้า
دیپلمات	ฑูต
سیگار	บุหรี่
شکستگی	แตกหัก
توربین	กังหัน
رهنمود	แนวทาง
منعکس	ไตร่ตรอง
منعکس	ใคร่ครวญ
قاب	กรอบ
قاب	เฟรม
جنوبگان	แอนตาร์กติกา
لطفی	โปรดปราน
لطفی	บุญ
لطفی	เอาใจ
سطر	แถว
دشمنی	ศัตรู
دشمنی	ข้าศึก
شوخی	มุข
شوخی	ขัน
شوخی	มุก
شوخی	อำ
شوخی	ตลก
یورک	ยอร์ก
یورک	ยอร์ค
بازنشستگی	เกษียน
بازنشستگی	บำนาญ
بازنشستگی	เกษียณ
نعمت	อวยพร
نعمت	โปรดปราน
نعمت	พร
داود	เดวิด
زندگینامه	ชีวประวัติ
زندگینامه	อัตชีวประวัติ
جادویی	มนตร์
جادویی	ขลัง
جادویی	วิเศษ
جادویی	เวทมนตร์
فاجعه	หายนะ
استعمار	นิคม
فقیر	คนจน
فقیر	ยากจน
برون	ออก
گریز	หนี
مجاری	ฮังการี
صبا	สะ
گله	ปศุสัตว์
گله	วัว
دومینیکن	โดมินิกัน
موی	เส้นผม
موی	ขน
ظروف	จาน
هورمون	ฮอร์โมน
خشن	รุนแรง
پستان	หัวนม
پستان	อก
فیلمهای	ภาพยนตร์
پرسنل	บุคลากร
مارکس	เครื่องหมาย
خاستگاه	ที่มา
خاستگاه	ต้นทาง
خاستگاه	กำเนิด
لئو	สิงห์
سکوی	แพลตฟอร์ม
گیل	เกิล
گیل	กิล
گیل	เกล
کروم	โครม
رحم	มดลูก
رحم	ครรภ์
وعده	สัญญา
بشکه	อวย
بشکه	ถัง
فاکتور	ตัวประกอบ
فاکتور	ปัจจัย
هندوراس	ฮอนดูรัส
بوکس	ชกมวย
بوکس	มวย
باس	แบ
باس	แบส
باس	แบต
باس	เบส
خودی	มิตร
بیماریهای	โรค
نوآوری	นวัตกรรม
یونانیان	กรีก
کنده	ตอ
دوش	ฝักบัว
خرگوش	กระต่าย
طالب	กิเลส
طالب	ปรารถนา
تد	เท็ด
تد	เทด
لیون	ออน
سلولهای	เซลล์
اسکان	นิคม
ارز	มูลค่า
تایپ	พิมพ์
تایپ	ชนิด
تایپ	ประเภท
قریه	ทาวน์
قریه	เมือง
ارتقای	โปรโมชัน
ارتقای	โปรโมท
فیبر	ไฟเบอร์
موضعی	ยาสลบ
پارتی	ปาร์ตี้
پارتی	พรรค
جولای	กรกฎาคม
مداخله	แทรกแซง
ذخایر	สมบัติ
کمپ	ค่าย
سوری	ซีเรีย
نجومی	ดาราศาสตร์
سربازی	ทหาร
جهش	กระโดด
جهش	โดด
پایتون	ไพธอน
پیشرو	ก้าวหน้า
مان	มูล
ماشینی	แมชชีน
ماشینی	เครื่องจักร
ماشینی	เครื่อง
بروکسل	บรัสเซลส์
لب	ปาก
لب	ลิป
برزیلی	บิท
برزیلی	บราซิล
برزیلی	บิ
برزیلی	บิว
کشاورزان	เกษตรกร
کشاورزان	กสิกร
کشاورزان	ชาวไร่
جد	บรรพบุรุษ
مبادله	สลับ
مبادله	แลก
غارهای	ถ้ำ
سواری	ขี่
ترنس	ภวังค์
دوشیزه	นางงาม
دوشیزه	คิดถึง
دوشیزه	มิส
دوشیزه	พลาด
موتوری	มอเตอร์
بازیهای	เกม
بازیهای	เกมส์
صاحبان	เจ้าของ
علنی	สาธารณชน
علنی	สาธารณะ
شانه	ไหล่
شانه	หวี
عامیانه	สแลง
نجوم	ดาราศาสตร์
چندگانه	หลาย
چندگانه	หลายๆ
انها	ชาร์จ
علف	หญ้า
علف	วัชพืช
علف	ฟาง
علف	กัญชา
لشکرکشی	แคมเปญ
کاوش	สำรวจ
زایمان	แรงงาน
بازده	ยอม
بازده	ประสิทธิภาพ
چاد	แชด
چاد	ชาด
اشک	น้ำตา
اشک	ฉีก
تان	ตาล
خشمگین	โกรธ
خشمگین	โมโห
لوکس	condo
لوکس	หรูหรา
مواضع	จุดยืน
مواضع	ตำแหน่ง
موجودی	หุ้น
موجودی	สต๊อก
سوادکوه	อิหร่าน
دانمارکی	เดนมาร์ก
شاد	สุขใจ
شاد	แฮปปี้
شاد	ดีใจ
شاد	พุก
لرزش	ส่าย
لرزش	เขย่า
تنه	หีบ
تنه	ลำต้น
مداری	เบ้าตา
مبهم	ฝอย
مبهم	คลุมเครือ
عینی	วัตถุประสงค์
نگرش	ทัศนคติ
نگرش	ท่าที
رزم	รบ
رزم	ศึก
رزم	สงคราม
بهایی	ราคา
کشش	ตึงเครียด
کشش	ตึง
بنفش	ม่วง
بنفش	ไวโอเล็ต
پخته	อบ
پخته	ปรุง
الهه	เทพธิดา
الهه	ธิดา
حفره	หลุม
حفره	รู
حفره	โพรง
دوچرخه	จักรยาน
یگانه	หนึ่ง
یگانه	เดียว
شل	เชลล์
شل	หลวม
شل	เปลือก
شل	หลุด
بوم	ตูม
بوم	บูม
چو	โชโช
چو	โช
چو	โชว
ورق	บัตร
ورق	การ์ด
ورق	ไพ่
درشت	หยาบ
درشت	ใหญ่
زنبور	ผึ้ง
زنبور	บี
کاسه	ชาม
دایی	ลุง
پیاز	หอม
کمیت	ปริมาณ
رام	พระราม
رام	ราม
رام	เชื่อง
دود	ควัน
کبود	สีน้ำเงิน
کبود	บลู
کبود	ช้ำ
کبود	น้ำเงิน
ویدیو	วีดีโอ
ویدیو	วิดีโอ
دیجیتالی	ดิจิตอล
دمکراتیک	ประชาธิปไตย
دفاتر	ออฟฟิศ
دفاتر	สำนักงาน
شین	เชน
مشورت	ปรึกษา
بیدار	ตื่น
تهاجمی	ดุดัน
تهاجمی	ก้าวร้าว
جهنم	นรก
خوشحال	สุขใจ
خوشحال	แฮปปี้
خوشحال	ดีใจ
فوران	ปะทุ
سرشار	ฟู
سرشار	เต็ม
تطابق	แมตช์
پرستش	บูชา
پرستش	นมัสการ
پارلمانی	รัฐสภา
دلتا	เดลต้า
مسطح	แบน
مسطح	แฟลต
مملکت	ประเทศ
مامور	เอเย่นต์
مامور	ตัวแทน
تلگراف	โทรเลข
اعلان	ประกาศ
دویچه	ดอยช์
رآکتور	ปฏิกรณ์
بوداپست	บูดาเปสต์
بوداپست	บูดาเปส
تاجر	พ่อค้า
تیز	คม
تیز	ชาร์ป
رومن	โรมัน
شرعی	บัญญัติ
ویژگیهای	คุณสมบัติ
ویژگیهای	ทรัพย์สิน
فریم	กรอบ
فریم	เฟรม
بده	ให้
بده	มอบ
خفاش	ค้างคาว
اعتراضی	คัดค้าน
اعتراضی	ค้าน
اعتراضی	ประท้วง
سازمانهای	องค์กร
اجاره	เช่า
شفاهی	วาจา
ژورنال	วารสาร
گئورگ	จอร์จ
پلان	แผน
پلان	แพ็คเกจ
پلان	วางแผน
فرآیند	กระบวนการ
موشکی	ขีปนาวุธ
میگ	มิก
لک	หลัก
مینی	จิ๋ว
زره	เกราะ
مدارهای	วงจร
برکه	บ่อ
برکه	สระ
بوک	บก
راکت	จรวด
خواهرش	น้อง
تناسب	ฟิต
تناسب	พอดี
تعجب	สงสัย
دیواری	กำแพง
مکزیکی	เม็กซิโก
دستمزد	ค่าแรง
قاچاق	ค้า
ریش	คลัช
ریش	เครา
ریش	คลัตช์
کارلو	คาโล
کارلو	คาร์โล
دیک	ดิ๊ก
دیک	ดิ๊ค
تکلیف	การบ้าน
همیشگی	ปกติ
همیشگی	ถาวร
فلج	อัมพาต
جعلی	แกล้ง
جعلی	ปลอม
عضله	กล้าม
خشت	เพชร
کشمیر	แคชเมียร์
بت	เบ็ต
بت	เบ็ธ
بت	เบ็ท
بت	เบธ
پنجه	อุ้งเท้า
پنجه	ตีน
افتادن	หล่น
افتادن	ตก
افتادن	ล้ม
افتادن	ร่วง
پاراگراف	ย่อหน้า
اردک	เป็ด
پنیر	ชีส
دزدی	ปล้น
دزدی	ขโมย
دزدی	โจรกรรม
داوطلب	อาสา
کلاغ	อีกา
شرکتهای	บริษัท
انستیتو	สถาบัน
ترمیم	ซ่อมแซม
ترمیم	ฟื้นฟู
شتر	อูฐ
صور	ทรัมเปต
صور	แตร
صور	ทรัมเป็ต
نیکل	นิกเกิล
فرستادن	ส่ง
رن	หยิน
رن	เรน
پلاستیک	พลาสติก
آرد	แป้ง
نوح	นูร
نوح	นู่
نوح	นู
مموریال	อนุสรณ์
وقف	ทุ่มเท
ارزان	ถูกๆ
پنبه	สายไหม
پنبه	ฝ้าย
جادوگر	แม่มด
سونگ	ซุง
سونگ	ซอง
ور	แวร์
لنگ	แลง
جادو	มนตร์
جادو	เวทมนตร์
سنگینی	หนักๆ
سنگینی	หนัก
شرف	เกียรติ
شرف	เกียรติยศ
دکمه	ปุ่ม
دکمه	กระดุม
کام	คาม
کام	ล่อลวง
کام	ยั่วยวน
ناراحت	หงุดหงิด
کت	ตรา
کت	แคท
کت	โค้ท
سیکل	รอบ
سیکل	วงจร
سیکل	วัฏจักร
غبار	ฝุ่น
کرت	เคิร์ต
سون	ซุน
سون	ซัน
سون	พระอาทิตย์
انعکاس	กระจกเงา
انعکاس	กระจก
مقصود	วัตถุประสงค์
وفادار	ศรัทธา
وفادار	ซื่อสัตย์
وفادار	ภักดี
چشمان	ดวงตา
چشمان	นัยน์ตา
چشمان	สายตา
چشمان	ตา
مناظر	บรรยากาศ
مناظر	ทัศนียภาพ
مناظر	ทิวทัศน์
ترش	เปรี้ยว
میهن	มาตุภูมิ
فولادی	เหล็ก
کاش	หวัง
تگ	แท็ก
کمونیستی	คอมมิวนิสต์
معلق	ระงับ
لورن	ลอเรน
لورن	ลอว์เรน
مبحث	หัวข้อ
نمایشگر	จอภาพ
غم	เศร้า
غم	เศร้าๆ
لائوس	ลาว
فصول	ฤดูกาล
محرمانه	ลับๆ
محرمانه	ลับ
لان	ลอน
لان	ลาน
حیوانی	สัตว์
ایدئولوژی	อุดมการณ์
نمره	แต้ม
نمره	คะแนน
نمره	สกอร์
نمره	เกรด
امثال	สุภาษิต
امثال	สำนวน
بسازید	สร้าง
اسقف	บิชอป
بنفشه	ไวโอเล็ต
احضار	เรียก
مصور	การ์ตูน
قیمتی	ล้ำค่า
قیمتی	ราคา
یاخته	เซลล์
ویدیویی	วีดีโอ
ویدیویی	วิดีโอ
جرایم	อาชญากรรม
وود	ไม้
وود	วูด
انتزاعی	นามธรรม
هارت	ฮาร์ต
هارت	ฮาร์ท
حلال	อนุมัติ
فرگشت	วิวัฒนาการ
رکود	หดหู่
زئوس	ซุซุ
زئوس	ซุส
گرینلند	กรีนแลนด์
صدف	หอย
کو	กู
برهنه	โล่ง
برهنه	เปลือย
لوکاس	ลูคัส
کوت	กุด
داوید	เดวิด
نوزادان	ทารก
یکنواخت	คงที่
یکنواخت	นิ่ง
یکنواخت	มั่นคง
رحمت	เมตตา
رحمت	ปราณี
ضمیمه	ล้อม
مجرای	ช่อง
مجرای	คลอง
مجالس	ผ่าน
ابری	เมฆ
تایم	เวลา
شارلوت	ชาร์ลอตต์
شارلوت	ชาร์ล็อต
شارلوت	ชาร์ล็อตต์
اتوماتیک	อัตโนมัติ
گریه	ร้องไห้
درامز	กลอง
مرتکب	ก่อ
مستندات	เอกสาร
رقابتی	แข่งขัน
نخ	ด้าย
میلیمتر	มิลลิเมตร
شاعری	กวี
عطر	น้ำหอม
عنکبوت	แมงมุม
موس	มูส
مؤسسات	สถาบัน
تجربیات	ประสบการณ์
کافه	คาเฟ่
لیل	ลิล
دستان	มือ
فروشی	ร้าน
مراسمی	พิธี
مراسمی	พิธีการ
مرجان	ปะการัง
پلاسما	พลาสมา
بوتان	ภูฏาน
باردار	ท้อง
مالیاتی	ภาษี
آریا	เรีย
دیوارها	ผนัง
دیوارها	กำแพง
افراطی	สุดขีด
فرشتگان	เทวดา
جیوه	ปรอท
لیاقت	สมควร
حفر	ขุด
شعله	ไฟ
فک	กราม
فک	ราม
تعاریف	นิยาม
دامن	กระโปรง
گیتاریست	กีตาร์
اقیانوسی	มหาสมุทร
اقیانوسی	ทะเล
گیتی	จักรภพ
گیتی	ภพ
گیتی	จักรวาล
رید	รีด
عموی	ลุง
جودو	ยูโด
مسائلی	ปัญหา
تامیل	ทมิฬ
کورت	เคิร์ต
نزاع	ทะเลาะ
بلوط	โอ๊ค
بلوط	เกาลัด
تقارن	สมมาตร
اسراییل	อิสราเอล
پلاتین	แพลทินัม
پشتیبان	สนับสนุน
پشتیبان	สำรอง
پشتیبان	รองรับ
مرکوری	ปรอท
پخت	อบต
پخت	อบ
خزانه	คลัง
شهروندی	พลเมือง
فین	ฟินน์
فین	ฟิน
زانو	เข่า
آرنا	สังเวียน
فلش	แฟลช
تنبیه	ลงโทษ
ویدئوی	วีดีโอ
ویدئوی	วิดีโอ
تقلب	โกง
تقلب	ฉ้อโกง
تقلب	นอกใจ
مانکن	หุ่น
پاور	อำนาจ
پاور	พลัง
پاور	พลังงาน
جنجال	หย่อน
پوش	ฝัก
خاکستر	แอช
میانجی	กลาง
استریت	ถนน
تکاملی	วิวัฒนาการ
خروس	จู๋
نمادین	สัญลักษณ์
آگهی	โฆษณา
واکسن	วัคซีน
وارن	วอร์เรน
رستاخیز	คืนชีพ
بیوگرافی	ชีวประวัติ
شورشی	กบฏ
شکوفایی	บลูม
پاهای	ฟุต
پاهای	เท้า
پاهای	ฟิต
لیسبون	ลิสบอน
تحقیقی	ทุน
تأخیر	ล่าช้า
آشوب	วุ่นวาย
بالقوه	ศักยภาพ
زینتی	ตกแต่ง
سقط	ทำแท้ง
سقط	แท้ง
دیزل	ดีเซล
محفل	สมัชชา
دوبلین	ดับลิน
الکترونی	อิเล็กตรอน
قطره	วาง
قطره	ดรอป
قطره	หยอด
قطره	หย่อน
قطره	หยด
باطل	ปลอม
باطل	เท็จ
باطل	โมฆะ
باطل	กิเลส
خداحافظی	ลา
خداحافظی	อำลา
جونگ	จุง
جونگ	จอง
رون	รอน
عاطفی	อารมณ์
اسکن	สแกน
مایعات	ของเหลว
وات	วัตต์
عدسی	เลนส์
مخفیانه	ลับๆ
مخفیانه	แอบ
کریستیان	คริสเตียน
مستطیل	สี่เหลี่ยม
کاج	ต้นสน
بایت	ไบต์
انقلابیون	ปฏิวัติ
برفی	หิมะ
مهربان	ใจดี
مهربان	ชนิด
مهربان	เมตตา
سوالات	คำถาม
شوک	ช็อค
شوک	ช๊อค
شوک	ช็อก
شوک	ช็อต
ابتکار	ริเริ่ม
نمادی	สัญลักษณ์
ورد	คาถา
ورد	สะกด
اسپورت	กีฬา
اسپورت	สปอร์ต
آرت	อาร์ท
آرت	อาร์ต
آرت	ศิลปะ
موانع	อุปสรรค
تاخیر	ล่าช้า
ناتوانی	พิการ
تاکسی	แท็กซี่
زشت	ขี้เหร่
زراعت	พืช
زراعت	การเกษตร
زراعت	พืชพันธุ์
واجب	จำเป็น
سبزیجات	ผัก
هموار	เรียบ
قرائت	อ่าน
آناتومی	กายวิภาคศาสตร์
آناتومی	กายวิภาค
سوق	ชุลมุน
سوق	ไดรฟ์
سوق	ไดร์ฟ
بارانی	ฝน
بارانی	ฝักบัว
بارانی	เรน
بیچ	บีช
بیچ	หาด
بیچ	ชายหาด
کیفری	อาชญากร
کیفری	อาชญากรรม
آرزو	หวัง
عزت	เกียรติ
عزت	รุ่งโรจน์
عزت	เกียรติยศ
تمبر	แสตมป์
معاملات	ธุรกรรม
یاقوت	ทับทิม
بدهی	หนี้
بدهی	เดบิต
کلیساها	โบสถ์
پرستوی	กลืน
چادر	เต็นท์
چادر	ค่าย
عمو	ลุง
نوسان	สวิง
نوسان	เหวี่ยง
نوسان	แกว่ง
زنجیر	โซ่
زنجیر	ลูกโซ่
اسپانیای	สเปน
ین	เยน
دلالت	นัย
نیزه	หอก
نیزه	หอน
بلژیکی	เบลเยียม
بلژیکی	เบลเยี่ยม
کمینه	น้อย
کاراته	คาราเต้
دستگاهی	อุปกรณ์
سرما	เย็นๆ
سرما	เย็น
سرما	หนาว
آموزگار	ครู
آموزگار	คุณครู
آموزگار	อาจารย์
شجاعت	กล้า
پرستار	พยาบาล
مشکی	ดำ
بنگال	เบงกอล
الحاق	ผนวก
ایان	เอียน
جاوه	จาวา
جاوه	ชวา
متعهد	ผูกพัน
بلیز	เบลิซ
درخشش	ส่อง
درخشش	ประกาย
درخشش	เปล่งปลั่ง
اینترنشنال	นานาชาติ
اینترنشنال	สากล
سهره	ฟินซ์
سهره	ฟินช์
جواهر	อัญมณี
جواهر	พลอย
بیسبال	เบสบอล
خستگی	เหน็ดเหนื่อย
خستگی	อ่อนเพลีย
بسامد	ความถี่
الکتریسیته	ไฟฟ้า
کریک	รีก
اشیا	วัตถุ
مشت	ปั้น
مشت	กำปั้น
مشت	ต่อย
مشت	ชก
مشت	หมัด
ربع	ไตรมาส
مجنون	โกรธ
مجنون	วิกลจริต
مجنون	โมโห
عزاداری	ไว้อาลัย
اضطراب	วิตก
نسیم	สายลม
اضطراری	ภาวะฉุกเฉิน
اضطراری	ฉุกเฉิน
باکس	ช่อง
باکس	กล่อง
تعصب	อคติ
تفنگداران	คอร์ป
کرک	เคิร์ก
درصدی	เปอร์เซ็นต์
درصدی	เปอร์เซนต์
افغانی	อัฟกานิสถาน
سپید	ขาว
سپید	ไวท์
دریچه	วาล์ว
احساسی	อารมณ์
انجیر	ฟิก
انجیر	ฟิค
جوهر	หมึก
پلاستیکی	พลาสติก
پن	แพน
سس	น้ำปลา
سس	ซอส
مبدا	ที่มา
مبدا	ต้นทาง
مبدا	กำเนิด
رولز	ม้วน
آرژانتینی	อาร์เจนตินา
روال	กิจวัตร
تم	ธีม
تم	แทม
فاش	เผย
ویروسی	ไวรัส
صداهای	เสียง
رینگ	วงแหวน
رینگ	ริง
رینگ	แหวน
مخالفین	ค้าน
گوزن	มูส
گوزن	กวาง
لیزری	เลเซอร์
پاداش	โบนัส
پاداش	รางวัล
لمس	แตะ
لمس	สัมผัส
لمس	ทัช
لمس	ซึ้ง
واگذاری	ตัวแทน
مهندسین	วิศวกร
اسکلت	โครง
پدربزرگ	ปู่
گروپ	กลุ่ม
انحصار	เศรษฐี
منجمد	แข็ง
منجمد	อายัด
خدایی	อัลลอฮฺ
خدایی	พระเจ้า
خدایی	อัลลอฮ์
پادگان	ฐาน
اسپورتینگ	กีฬา
امریکایی	อเมริกัน
بارون	ฝน
بارون	บารอน
بارون	เรน
گی	เกย์
تاسیسات	สถาน
حسگر	เซ็นเซอร์
مستعمره	นิคม
مستعمره	อาณานิคม
بودا	พระพุทธเจ้า
ایمن	ปลอดภัย
ایمن	เซฟ
غده	ต่อม
بروک	ลำธาร
بروک	บรู๊ค
مقاصد	วัตถุประสงค์
گراد	บัณฑิต
پاسخگویی	ตอบ
جنسیتی	เพศ
گیلبرت	กิลเบิร์ต
چاک	ชัค
خوک	หมู
بازوی	แขน
بیداری	ตื่น
جامی	คัพ
جامی	ถ้วย
شوهرش	สามี
شوهرش	ผัว
مارپیچی	เกลียว
ناراحتی	เศร้า
ناراحتی	เศร้าๆ
محبت	น้ำใจ
باک	บาก
کارا	คาร
کارا	คารา
جهانگردان	สำรวจ
تزئین	ตกแต่ง
نشستن	นั่ง
انصراف	เลิก
کلامی	วาจา
قضائیه	ตุลาการ
قسم	สาบาน
آرم	แขน
دلاور	เดลาแวร์
اسیدی	กรด
فلفل	พริก
مگس	แมลงวัน
کالاها	สินค้า
محو	เบลอ
لای	ลาย
پنجشنبه	พฤหัสบดี
پنجشنبه	พฤหัส
پنجشنبه	พฤหัสฯ
میکس	มิกซ์
میکس	ผสม
بذر	ธัญพืช
بذر	เมล็ด
فرصتی	โอกาส
اخطار	เตือน
بخارست	บูคาเรสต์
حباب	ฟอง
پالس	ชีพจร
بهاری	สปริง
نقدهای	รีวิว
نقدهای	วิจารณ์
تفریح	สันทนาการ
تفریح	นันทนาการ
کپنهاگ	โคเปนเฮเกน
صدمه	ทำร้าย
صدمه	เจ็บ
شارژ	ประจุ
شارژ	ชาร์ต
شارژ	ชาร์จ
خنده	หัวเราะ
ملایم	นุ่ม
ملایم	อ่อน
ملایم	นิ่ม
ییلاق	ชนบท
ییلاق	ประเทศ
مایا	มายา
لانه	ถ้ำ
لانه	เดน
لانه	รัง
امتیازات	คะแนน
شبح	ผี
دورانی	เคลือบ
واتیکان	วาติกัน
گریس	พระคุณ
اتلتیک	นักกีฬา
موضوعاتی	หัวข้อ
عشقی	ชอบ
عشقی	รัก
تدبیر	แผน
تدبیر	แพ็คเกจ
تدبیر	วางแผน
دریاها	ทะเล
سفال	เครื่องปั้นดินเผา
ریس	รีซ
ریس	รีส
بشریت	มนุษยธรรม
بشریت	มนุษยชาติ
فیجی	ฟิจิ
ارضی	หวง
ارضی	อาณาเขต
رزرو	สำรอง
رزرو	จอง
یخبندان	ไอซ์
رابینسون	โรบินสัน
کویینز	ควีน
کویینز	ราชินี
دلو	ถัง
ضخیم	หนา
ضخیم	หนาๆ
شفت	ด้าม
شفت	เพลา
دستورالعمل	สูตร
انگشتان	นิ้ว
معصوم	บริสุทธิ์
کارتون	การ์ตูน
آموخته	สอน
گرامر	ไวยากรณ์
سپیده	รุ่งอรุณ
بخت	วาสนา
بخت	ลาภ
هاله	รัศมี
توری	กริด
بنویسد	เขียน
همسران	ภริยา
هوندا	ฮอนด้า
بهای	ราคา
آیفون	โฟน
مشتقات	ตัวแปร
اسکای	ฟ้า
اسکای	ท้องฟ้า
سنگر	บังเกอร์
موجی	เวฟ
موجی	โบก
موجی	โบกมือ
موجی	คลื่น
انعطاف	ยืดหยุ่น
ادارات	ออฟฟิศ
ادارات	สำนักงาน
قدیس	เซนต์
قدیس	นักบุญ
تهی	ว่าง
تهی	ว่างๆ
تهی	โมฆะ
رفیع	สูง
رفیع	ไฮ
نگاشت	แผนที่
جمجمه	กะโหลก
سوزن	เข็ม
بنادر	พอร์ต
پذیرایی	ที่พัก
پذیرایی	บันเทิง
عروسک	ตุ๊กตา
چیزها	สิ่งของ
تزیین	ตกแต่ง
سلیقه	รสนิยม
دهقان	ชาวนา
دهقان	ชาวไร่
انشعاب	ส้อม
انشعاب	สาขา
کسر	เศษส่วน
عبادت	บูชา
عبادت	นมัสการ
جنایات	อาชญากรรม
نامحدود	อนันต์
ذرت	ข้าวโพด
بدانید	รู้
بدانید	ทราบ
تکنیکی	เทคนิค
زی	ซี
نفی	เนรเทศ
کنراد	ราด
رنگهای	สีสัน
رنگهای	สี
اطفال	เด็กๆ
اطفال	เด็ก
اطفال	ลูกๆ
فرضی	สมมติ
راو	ดิบ
راو	ดิบๆ
آهسته	ช้าๆ
آهسته	ค่อยๆ
آهسته	ช้า
آهسته	ชะลอ
آهسته	กระซิบ
گوگ	โก๊ะ
رؤیا	ฝัน
رفیق	บัดดี้
بدانند	รู้
بدانند	ทราบ
مناظره	โต้วาที
میکرو	ไมโคร
بادهای	ลม
تاب	สวิง
تاب	เหวี่ยง
تاب	แกว่ง
بیاورید	นำ
پنهانی	ลับๆ
پنهانی	แอบ
قربان	เซอร์
گنگ	แก๊ง
یخی	ไอซ์
یخی	ฟรอสท์
ماسک	หน้ากาก
مکانیزم	กลไก
قرض	หนี้
قرض	ยืม
قرض	ขอยืม
استوا	เส้นศูนย์สูตร
استوا	ศูนย์สูตร
مهمات	ยุทธภัณฑ์
دول	โด
کلک	ทริค
گرده	เกสร
متخصصین	เทค
متخصصین	เทคโนโลยี
فسیلی	ดึกดำบรรพ์
فسیلی	ฟอสซิล
فسیلی	ซากดึกดำบรรพ์
پروسه	กระบวนการ
تراشه	ชิพ
تراشه	ชิป
تحقیر	ดูถูก
عنکبوتی	แมงมุม
پوینت	ประเด็น
پوینت	จุด
پوینت	ชี้
جراح	ศัลยแพทย์
اتمسفر	บรรยากาศ
قفس	กรง
جاسوس	สปาย
آشکارا	ชัด
لکه	เบลอ
لکه	คราบ
سوارکاری	ขี่
متریک	เมตริก
جاش	จอช
بحر	ทะเล
حسابرسی	บัญชี
یگان	หน่วย
یگان	ยูนิต
قرارگاه	ที่พัก
ویک	วิค
اتلاف	เปลือง
بای	อ่าว
ابدی	อมตะ
مهری	ผนึก
پروتستان	โปรเตสแตนต์
تجلیل	ฉลอง
زحمات	โฉนด
سپر	กันชน
سلاطین	ราชา
سلاطین	กษัตริย์
دیکتاتوری	เผด็จการ
خشکسالی	แล้ง
کلوپ	คลับ
کلوپ	ชมรม
کلوپ	สโมสร
پوشیدن	ใส่
پوشیدن	สวม
کلاب	คลับ
کلاب	ชมรม
کلاب	สโมสร
تایی	แท
تایی	แท่
نفرت	เกลียด
هالی	ฮอล
نواری	โบว์
نواری	ริบบิ้น
ارگان	อวัยวะ
ارگان	ออร์แกน
خفیف	อ่อน
مخروطی	กรวย
مخروطی	โคน
قفسه	ตู้
پرتقال	ส้ม
نایت	อัศวิน
نایت	ไนท์
اسپرت	กีฬา
اسپرت	สปอร์ต
جواهرات	อัญมณี
وانگ	แวง
وانگ	วัง
بیا	มา
کورپوریشن	คอร์ปอเรชั่น
مارپیچ	เกลียว
سگا	สุนัข
سگا	หมา
نهر	รีก
سوسک	แมลงสาบ
سوسک	ด้วง
بزرگسال	ผู้ใหญ่
لیبرالیسم	เสรีนิยม
وجوه	กองทุน
شنی	ทราย
دخیل	เกี่ยวข้อง
صوری	ทางการ
قسمتهای	ตอน
جدیدترین	ล่าสุด
تصدیق	ยืนยัน
جاوید	อมตะ
کینگز	ราชา
کینگز	กษัตริย์
سوشی	ซูชิ
واتسون	วัต
سوژه	หัวข้อ
تنباکو	ยาสูบ
فنلاندی	ฟินแลนด์
عاقبت	ผลลัพธ์
جردن	จอร์แดน
تراژدی	โศกนาฏกรรม
رؤیای	ฝัน
برمه	พม่า
خر	ลา
کریگ	เคร็ก
کریگ	เคร
فشاری	กดดัน
شمشیربازی	ฟันดาบ
معلول	พิการ
سفت	แน่น
نیش	ต่อย
عیب	บกพร่อง
تعالیم	ลัทธิ
معابد	วัด
ماهیگیری	ประมง
