மற்றும்	そして
எஸ்டேட்	不動産
ஓடை	渓流
ஓடை	ストリーム
ஊற்று	噴水
விளையாடுபவர்	プレイヤー
விளையாடுபவர்	プレーヤー
விளையாடுபவர்	選手
விமானத்தை	飛行機
வெங்காயம்	オニオン
வெங்காயம்	タマネギ
வெங்காயம்	玉ねぎ
வெங்காயம்	たまねぎ
விசைகள்	キー
விசைகள்	トリガー
விசைகள்	引き金
அழிப்பு	クレンジング
மஞ்சு	まんじゅう
மஞ்சு	饅頭
அன்றாடம்	デイリー
சக்கரங்கள்	ホイール
சக்கரங்கள்	車輪
நிவாரணம்	浮き彫り
நிவாரணம்	レリーフ
நாடா	テープ
பூச்சு	漆喰
குறைந்துள்ளது	減らす
மாலிப்டினம்	モリブデン
தீர்ப்பை	審判
தீர்ப்பை	判断
தோ	東亜
தோ	トーア
முகவரியை	アドレス
முகவரியை	住所
பைன்	マツ
பைன்	パイン
வாரன்	ウォーレン
நிறுவுதல்	インストール
நிறுவுதல்	設置
டவர்	タワー
தனியுரிமை	プライバシー
அணிவகுப்பு	パレード
ஆன்டர்சன்	アンダーソン
கேமரா	カメラ
இறுதியான	アルティメット
இறுதியான	ファイナル
இறுதியான	決勝
இறுதியான	最終
போக்குகள்	トレンド
உணரப்பட்டது	実現
சாலமன்	ソロモン
மட்டை	コウモリ
மட்டை	バット
வெளியேற்றி	取り出し
கார்ட்டூன்	カートゥーン
சிந்தனையாளர்	思想
சிகரெட்	タバコ
வேன்	ヴァン
வேன்	バン
மூத்தவர்	上級
மூத்தவர்	先輩
வெண்ணெய்	バター
மரியாள்	マグダレーナ
சிங்கர்	シンガー
நிழல்கள்	シャドウズ
கலவரங்கள்	暴動
ஆர்சனல்	工廠
ஆர்சனல்	アーセナル
குடிசை	小屋
அனிமேஷன்	アニメ
தேரை	ヒキガエル
தேரை	キノピオ
மூவி	映画
மூவி	ムービー
கொள்வனவு	買い物
கொள்வனவு	ショッピング
கொள்வனவு	買物
பேரிடர்	災害
எறும்புகள்	アリ
தட்டி	蛇口
தட்டி	タップ
உபயோகம்	使い方
உபயோகம்	効用
உபயோகம்	ユーティリティー
உபயோகம்	ユーティリティ
வெளிப்புறம்	外側
ஹாக்	タカ
ஹாக்	ホーク
காய்ந்த	ドライ
காய்ந்த	乾燥
காய்ந்த	辛口
ஹான்ஸ்	ハンス
பட்டர்	バター
அனுபவத்தை	エクスペリエンス
அனுபவத்தை	経験
அனுபவத்தை	体験
பாராட்டும்	鑑賞
குறைந்தளவு	保守
ரொனால்டோ	ロナウド
சக்திவாய்ந்த	パワフル
திங்கட்கிழமை	月曜日
நீளமானது	長文
தனிநபர்கள்	個人
ஆண்குறி	ペニス
ஆண்குறி	陰茎
டெர்ரி	テリー
படைத்தவர்	クリエーター
மண்டேலா	マンデラ
கொள்கலன்	コンテナ
கொள்கலன்	容器
கொள்கலன்	内容
கொள்கலன்	コンテンツ
இப்ராகிம்	イブラヒム
அடிப்படைகள்	基本
கூந்தல்	毛髪
கூந்தல்	ヘア
கூந்தல்	ヘアー
கூந்தல்	髪の毛
மறையும்	ヒデ
மறையும்	隠す
அருமை	ニース
அருமை	素敵
அருமை	絶品
அருமை	ナイス
மகனே	息子
குழப்பங்கள்	競合
குழப்பங்கள்	対立
குழப்பங்கள்	コンフリクト
குழப்பங்கள்	紛争
விருப்பப்படி	カスタム
விருப்பப்படி	風習
ஊடுருவும்	貫通
உள்ளடக்கங்கள்	内容
இரக்கம்	思いやり
இரக்கம்	同情
வானவில்	レインボー
ஓசியானியா	オセアニア
எட்வார்ட்	エドワード
நகை	ジュエリー
நகை	ジュエル
நகை	宝石
கமிஷன்	コミッション
கமிஷன்	委嘱
கமிஷன்	手数料
ஆலோசனைகள்	提案
ஆலோசனைகள்	おすすめ
தொடும்	感動
ஆரோக்கியம்	健康
பாஸ்பரஸ்	リン
மாறிகள்	可変
மாறிகள்	変数
நுண்ணோக்கி	顕微鏡
ஐசக்	アイザック
ஐசக்	イサク
வாழ்வது	リビング
வெற்றிபெற்று	ウォン
சலாம்	サラム
மேலாளராக	マネージャー
மேலாளராக	支配人
மேலாளராக	店長
மேலாளராக	マネージャ
சலுகை	申し出
சலுகை	オファー
சலுகை	クーポン
ரசாயன	化学
ஸ்வீடன்	スウェーデン
லாக்	錠前
லாக்	ログ
லாக்	ロック
கரோலினா	カロライナ
பார்பரா	バーバラ
செலுத்தப்பட்டது	有料
அந்தோனியார்	アンソニー
ஸ்டாக்ஹோம்	ストックホルム
புரூணை	ブルネイ
பள்ளிக்கூடம்	スクール
பள்ளிக்கூடம்	学校
வர்ணம்	顔料
ரோஜாக்கள்	バラ
ரோஜாக்கள்	薔薇
மாட்	マット
சொத்துகள்	資産
சொத்துகள்	アセット
சக்	チャック
டொனால்ட்	ドナルド
டிரைவ்	ドライブ
பேட்ரிக்	パトリック
பாடுகிறார்	歌う
ஒப்பனை	化粧
ஒப்பனை	メイク
குபேரன்	クベーラ
கவனத்திற்கு	注意
கவனத்திற்கு	注目
ஆந்தை	ふくろう
ஆந்தை	フクロウ
அணிந்துரை	序文
பிரபலங்கள்	有名人
ஜூலியா	ジュリア
ஜூலியா	ユリア
நிணநீர்	リンパ
குச்சி	スティック
காளான்	キノコ
காளான்	マッシュルーム
போதைப்பொருள்	ドラッグ
போதைப்பொருள்	薬物
துணிகள்	生地
ஓடுகள்	タイル
டெர்	デア
ஃபோர்ப்ஸ்	フォーブス
இயக்கிகள்	ドライバー
இயக்கிகள்	ドライバ
பிலடெல்பியா	フィラデルフィア
இரங்கல்	お悔やみ
கடிகாரங்கள்	腕時計
ராஸ்	ロス
எலுமிச்சை	ライム
எலுமிச்சை	石灰
எலுமிச்சை	レモン
மனிதனும்	ソウル
மனிதனும்	霊魂
பதக்கங்களை	メダル
ரீட்	リード
ஆனந்தம்	喜び
ஆனந்தம்	ジョイ
மார்க்கம்	マーカム
மார்க்கம்	宗教
காய்கறி	野菜
முதிர்ச்சி	満期
ஷேன்	シェーン
குறும்படம்	サムネイル
இலைகளை	葉っぱ
அசுரன்	モンスター
அசுரன்	怪獣
அசுரன்	怪物
நிழலில்	シェード
நிழலில்	シェイド
நிழலில்	日陰
அரி	アリ
செயல்படுத்துகிறது	加工
செயல்படுத்துகிறது	処理
சளி	コールド
சளி	寒い
சளி	風邪
சளி	冷たい
கொடூரமான	残酷
தூதுவர்	アンバサダー
தூதுவர்	大使
செக்ஸ்	性別
செக்ஸ்	セックス
பாலினம்	性別
பாலினம்	ジェンダー
குணப்படுத்தும்	ヒーリング
கைபேசி	セル
கைபேசி	モバイル
முரணாக	皮肉
காலாண்டு	四半期
காலாண்டு	クォーター
பபெட்	バフェット
புலங்கள்	フィールド
புலங்கள்	フィールズ
அன்னிய	外国
பரவுகிறது	広がる
பரவுகிறது	スプレッド
ஏறு	登る
புகலிடம்	避難
எண்ணங்களை	思考
எண்ணங்களை	想い
எண்ணங்களை	考え
மடிப்பு	折り返し
மடிப்பு	ラッピング
மடிப்பு	包む
அளவுகோல்	縮尺
அளவுகோல்	目盛
அளவுகோல்	スケール
வெண்கல	ブロンズ
வெண்கல	青銅
குணப்படுத்த	燻製
குணப்படுத்த	治癒
ஆல்பங்கள்	アルバム
கெல்லி	ケリー
முதுகெலும்பு	脊柱
முதுகெலும்பு	背骨
முதுகெலும்பு	脊椎
பாக்கியம்	祝福
சிறகு	ウイングス
சிறகு	ウイング
பட்டாணி	エンドウ
சர்ச்சில்	チャーチル
ஆற்றலும்	エネルギー
ஆக்கி	プロセッサ
நிபுணத்துவம்	専門
கற்பு	純潔
ஈடன்	エデン
அதிகபட்சம்	最大
அதிகபட்சம்	マックス
சுருங்கி	縮小
கிட்	キット
செய்தியாளர்	リポーター
செய்தியாளர்	プレス
செய்தியாளர்	レポーター
சிப்	チップ
புக்கர்	ブッカー
கேளிக்கை	娯楽
கேளிக்கை	エンターテインメント
கேளிக்கை	レクリエーション
கேளிக்கை	エンターテイメント
சமோவா	サモア
பந்துகள்	ボール
குறிப்பேடு	ロガー
பருவங்கள்	シーズン
பருவங்கள்	季節
விஸ்டா	ビスタ
வாசம்	ブレス
கோளம்	球体
கோளம்	球面
கோளம்	球形
திரையரங்கு	演劇
திரையரங்கு	劇場
பின்புலம்	バックグラウンド
பின்புலம்	背景
பின்னோக்கி	後ろ向き
பின்னோக்கி	後方
தத்து	タブ
லம்போர்கினி	ランボルギーニ
ஆலோசனைக்	相談
ஆலோசனைக்	諮問
ஆலோசனைக்	協議
தனிமையில்	孤独
தனிமையில்	寂しい
வழிகாட்டல்	指導
வழிகாட்டல்	ガイダンス
தன்னைத்தானே	独学
பார்வைகள்	ビュー
பார்வைகள்	訪問
நோக்கங்களை	意図
பளிங்கு	大理石
மனிதர்களும்	ヒト
வாக்கியம்	文章
வாக்கியம்	宣告
வாக்கியம்	フレーズ
வாக்கியம்	センテンス
எதிரானது	反対
அனுப்புகிறது	送信
துவக்கி	ランチャー
பூனைகள்	ネコ
பூனைகள்	キャッツ
வார்சா	ワルシャワ
புள்ளிவிவரம்	統計
பாஸ்கல்	パスカル
மார்க்கெட்	市場
மார்க்கெட்	マーケット
கணங்கள்	モーメント
சோமாலியா	ソマリア
படத்தொகுப்பு	コラージュ
மீனவர்	漁師
பென்சீன்	ベンゼン
இருக்கவும்	滞在
இருக்கவும்	ステイ
துல்லியம்	精度
குவளை	マグカップ
தொழிற்சாலையில்	工場
ராக்கெட்	ロケット
ஆல்ப்ஸ்	アルプス
ஆல்ப்ஸ்	アルプス山脈
இயல்பை	自然
இயல்பை	ネイチャー
வித்து	種子
வித்து	シード
பானங்கள்	ドリンク
பானங்கள்	飲み物
பானங்கள்	飲物
நினைக்கும்	シンク
பெயர்ச்சி	置換
சமத்துவம்	平等
நடனங்கள்	踊り
நிபந்தனைகள்	条件
விடு	離れる
விடு	ドロップ
துர்கா	ドゥルガー
அலபாமா	アラバマ
தொழுகை	サラート
அன்ட்ரூ	アンドリュー
ரேகை	経度
பாலைவனத்தில்	砂漠
பாலைவனத்தில்	デザート
லூசியானா	ルイジアナ
கரைப்பான்	溶剤
எறிந்து	ギプス
எறிந்து	出演
எறிந்து	キャスト
தந்திரம்	トリック
அறிவார்ந்த	知能
அறிவார்ந்த	インテリジェント
அறிவார்ந்த	知的
மதிப்பாய்வு	レビュー
மதிப்பாய்வு	審査
நேர்மை	正直
பொறாமை	嫉妬
பொறாமை	羨望
கோட்டா	コタ
சூசன்	スーザン
காமெடி	喜劇
காமெடி	コメディ
காமெடி	コメディー
நையாண்டி	風刺
தீராத	持病
தீராத	慢性
வைக்கோல்	ストロー
வைக்கோல்	わら
இப்ராஹிம்	イブラヒム
முத்துக்கள்	真珠
ஆமைகள்	カメ
அலெக்சாந்திரியா	アレクサンドリア
சாதாரணமான	凡庸
பங்களா	バンガロー
ஜூலியஸ்	ジュリアス
ஜூலியஸ்	ユリウス
ஈஸ்ட்	酵母
பரிணாமம்	進化
பங்கேற்பு	関与
பங்கேற்பு	参加
சோலார்	ソーラー
கேம்ஸ்	ゲーム
கருட	ガルダ
பூத	物理
பூத	フィジカル
நெரிசல்	混雑
வாய்க்கால்	運河
ரொனால்ட்	ロナルド
கொலராடோ	コロラド
வளாகங்கள்	キャンパス
மிதவை	浮動
மிதவை	フローティング
உணரிகள்	センサ
உணரிகள்	センサー
நசீர்	ナジール
நசீர்	ナースィル
சோர்வு	疲労
எவரெஸ்ட்	エベレスト
திறக்க	オープン
திறக்க	開館
திறக்க	開く
சையது	サイイド
இடைவெளிகள்	スペース
இரவும்	ナイト
ஏதுமில்லை	なし
முன்னோக்கி	フォワード
முன்னோக்கி	進む
முன்னோக்கி	転送
பயன்முறை	モード
கவர்ச்சியான	セクシー
சுலைமான்	スレイマン
சுலைமான்	スライマーン
பேழை	カセット
தெருக்கள்	ストリート
கீரை	ほうれん草
ஜெப்ரி	ジェフリー
சன்னி	サニー
சன்னி	晴れ
பாதுகாக்கவும்	保護
பாதுகாக்கவும்	プロテクト
படையணி	大隊
மோட்சம்	献身
பயிற்சியாளர்கள்	コーチ
பேசுகிறது	喋る
ஈடுபட்டுள்ள	婚約
ஏழ்மை	貧困
பயங்கர	ひどい
மேலாளர்கள்	マネージャー
மேலாளர்கள்	マネージャ
மீதம்	残り
மீதம்	バランス
மீதம்	左側
மீதம்	残高
மீதம்	残額
பீச்	モモ
பீச்	ピーチ
லுட்விக்	ルートヴィヒ
நெற்றியில்	おでこ
தீவிரவாதம்	テロリズム
தீவிரவாதம்	テロ
குறுக்கீடு	割り込み
குறுக்கீடு	干渉
எள்	ゴマ
எள்	胡麻
வடிவமைக்க	設定
மனப்பான்மை	態度
மனப்பான்மை	姿勢
எட்ஜ்	エッジ
மாவீரன்	戦士
டொமினிக்கன்	ドミニカ
ஆன்மீகம்	スピリチュアル
உள்நாட்டில்	地元
உள்நாட்டில்	ローカル
வியூகம்	戦略
மாம்பழம்	マンゴー
மாம்பழம்	マンゴ
கழுதை	ロバ
வயிற்றுப்போக்கு	下痢
முஸ்தபா	ムスタファ
கிரகம்	惑星
தலைக்கு	ヘッド
தலைக்கு	頭部
மாறிவிட்டது	変更された
மியாமி	マイアミ
நிக்கோலஸ்	ニコラス
கொரில்லா	ゴリラ
நானா	ナナ
மோகம்	情熱
மோகம்	受難
மோகம்	パッション
கால்நடைகள்	ウシ
ஓட்டோ	オットー
நாளைய	明日
நாளைய	あした
சிர்க்கோனியம்	ジルコニウム
சந்தர்ப்பம்	コンテクスト
சந்தர்ப்பம்	コンテキスト
ஆண்டர்சன்	アンダーソン
சிக்னல்	信号
சிக்னல்	シグナル
மோடம்	モデム
கிளென்	グレン
விவகாரங்கள்	事務
காபூல்	カブール
பேச்சாளர்கள்	スピーカー
எலிகள்	マウス
வைன்	ワイン
வாடிக்கையாளரின்	クライアント
பட்டினி	飢餓
திறக்கும்	オープニング
திறக்கும்	開く
அசிட்டேட்டு	酢酸
கிரகங்கள்	惑星
காவி	サフラン
தோழன்	メイト
தோழன்	マテ
நாட்டியம்	ダンス
நிறைவுற்ற	飽和
கடனை	債務
உபரி	エクストラ
உபரி	オマケ
குட்டிகள்	カブス
குட்டிகள்	子犬
ஓவியத்தை	絵画
மணமகள்	花嫁
நிரூபிக்க	証明
ஜூலி	ジュリ
ஜூலி	ジュリー
ஒலிகள்	サウンド
ஜோர்டான்	ジョーダン
ஜோர்டான்	ヨルダン
பிரபஞ்சம்	銀河系
பிரபஞ்சம்	銀河
பிரபஞ்சம்	宇宙
சிறுநீரகம்	腎臓
நடித்தது	主演
சுயசரிதை	伝記
ரூபி	ルビー
ரூபி	ルビ
அத்தை	叔母
அத்தை	おばさん
அத்தை	おば
துரோகம்	反逆
துரோகம்	裏切り
பிட்டு	ビット
கார்லோ	カルロ
நடக்கின்றன	ハプニング
பக்கத்து	隣人
கருச்சிதைவு	流産
பண்பேற்றம்	変調
படுக்கையில்	ベッド
விவசாயி	農家
வழங்குநர்	プロバイダー
வழங்குநர்	プロバイダ
வழங்குநர்	主催
வழங்குநர்	ホスト
வெளிநாட்டில்	海外
திறமைகளை	タレント
நிற்பது	スタンディング
முன்னேற்றத்தை	プログレス
முன்னேற்றத்தை	進捗
முன்னேற்றத்தை	経過
முகமூடி	仮面
முகமூடி	マスク
வியாபாரிகள்	ベンダー
பட்லர்	バトラー
காட்டப்பட்டது	破棄
தந்தையர்	父親
வயர்லெஸ்	ワイヤレス
குளூனி	クルーニー
பென்னி	ペニー
பென்னி	ベニー
லூக்	ルカ
ஹன்னிபால்	ハンニバル
வில்லி	ウィリー
பொய்யான	フェイク
பொய்யான	虚偽
ஸ்ரீநகர்	シュリーナガル
படத்தைப்	写真
படத்தைப்	フォト
முற்றத்தில்	ヤード
தேவாலயங்கள்	教会
மல்யுத்தம்	レスリング
டோ	爪先
டோ	つま先
பிம்பம்	イメージ
பிம்பம்	画像
இறுக்கம்	圧縮
இழப்பீடு	賠償
இழப்பீடு	弁償
இழப்பீடு	補償
இழப்பீடு	補てん
இழப்பீடு	報酬
கோலங்கள்	図面
நீட்டிப்பு	延長
நீட்டிப்பு	二日酔い
வினைச்சொல்	動詞
பிசுமத்	ビスマス
ஜாகுவார்	ジャガー
கிராமத்திற்கு	村落
கிராமத்திற்கு	ヴィレッジ
பாணிகள்	スタイル
அல்ஜீரியா	アルジェリア
குறிப்பான	特定
காத்துக்	待ち
ஜெனிபர்	ジェニファー
மஹா	マハー
டோம்	ドーム
ஆராய்ச்சியாளர்	研究員
ஆராய்ச்சியாளர்	研究者
நதியா	ナディア
பத்திரிக்கையாளர்	ジャーナリスト
இர்வின்	アーウィン
இர்வின்	アーバイン
புரூக்	小川
புரூக்	ブルック
உற்பத்தியாளர்	製造業者
உற்பத்தியாளர்	メーカー
புதன்கிழமை	水曜
புதன்கிழமை	水曜日
முன்னொட்டு	プレフィックス
விவகாரம்	問題
விவகாரம்	発行
விவகாரம்	争点
விவகாரம்	不祥事
விவகாரம்	スキャンダル
பாடு	歌う
கொதிக்க	せつ
கொதிக்க	茹でる
கொதிக்க	沸騰
சையத்	サイイド
வளையல்	バングル
பண்டார	パンドラ
தமன்	ダマン
சியாம்	サイアム
பாகா	バハ
கிடங்கு	倉庫
சொட்டு	点滴
சோடா	ソーダ
நாஷ்	ナッシュ
பயங்கரமான	怖い
பயங்கரமான	ひどい
சிறப்பானது	注目
குங்குமப்பூ	サフラン
வெனிலா	バニラ
வழித்தடங்கள்	ルート
வழித்தடங்கள்	路線
துறவறம்	セイント
துறவறம்	聖人
குடிக்கும்	飲む
கையாளுதல்	取扱
கையாளுதல்	取り扱い
கையாளுதல்	ハンドリング
டாப்ளர்	ドップラー
அடித்தள	地下
அடித்தள	地下室
கார்டர்	カーター
குடிமகன்	市民
நாடெங்கும்	全国
மொசாம்பிக்	モザンビーク
சுடும்	シューティング
ஃபெராரி	フェラーリ
ஜாதி	カースト
நிறுத்தங்கள்	停車駅
நாகை	永井
ஈரம்	濡れ
மிருகங்கள்	動物
விதிவிலக்கு	例外
பொறுமை	忍耐
பொறுமை	我慢
பொறுமை	根気
குறிப்பை	メモ
குறிப்பை	ノート
ஜார்ஜியா	ジョージア
ஜார்ஜியா	グルジア
சிறகுகள்	羽毛
சிறகுகள்	ウイングス
காகம்	カラス
காகம்	クロウ
ஜிகாத்	ジハード
பையன்	男の子
பையன்	ガイ
பையன்	少年
பையன்	ボーイ
மெய்யான	オリジナル
கோர்டன்	ゴードン
பெக்	ベグ
ஹாரிசன்	ハリソン
கீத்	キース
சிண்ட்ரெல்லா	シンデレラ
தோட்டக்கலை	ガーデニング
தோட்டக்கலை	園芸
அலைந்து	さまよう
இஞ்சி	ジンジャー
இஞ்சி	生姜
இஞ்சி	ショウガ
கணவனை	ダンナ
காசநோய்	結核
பிரான்	ブラウン
பிரான்	ピラン
ஏபெல்	アベル
ஏபெல்	アーベル
பெல்ஜிய	ベルギー
சமரசம்	妥協
பணியாளர்களின்	社員
பணியாளர்களின்	スタッフ
தோராயமான	乱暴
தோராயமான	ラフ
திறமைகள்	タレント
திறமைகள்	スキル
பீங்கான்	磁器
கரோலின்	キャロライン
மதிப்புறு	リテラル
விஸ்கி	ウイスキー
விஸ்கி	ウィスキー
பேனா	ペン
திணிப்பு	ダンプ
ஸல்	サル
மாஸ்	質量
மாஸ்	ミサ
குத்து	パンチ
நட்டு	ナッツ
நட்டு	ナット
ஊழி	紀元
ஊழி	エポック
சொகுசு	贅沢
யே	わーい
குங்	クン
சேகரிக்க	徴収
சேகரிக்க	集める
சேகரிக்க	収集
சிதறல்	散乱
உகாண்டா	ウガンダ
கருக்கலைப்பு	流産
உருப்படிகள்	アイテム
உருப்படிகள்	品物
கரீம்	カリム
காத்மாண்டு	カトマンズ
இரவுகள்	ナイツ
ஷர்மா	シャルマ
செவ்வாய்க்கிழமை	火曜日
அகலமான	広い
கிராமங்களை	村落
பூசி	暖かい
பூசி	温かい
பூசி	あったかい
முடுக்கம்	加速
முடுக்கம்	加速度
கடத்தப்பட்ட	誘拐
சோர்ஸ்	ソアレス
இறுக்கமாக	きつい
இசைக்கு	チューン
இசைக்கு	メロディ
இத்தாலியன்	イタリアン
ஒயிட்	白い
ஒயிட்	ホワイト
தொந்தரவு	嫌がらせ
தொந்தரவு	ハラスメント
தால்	ダール
சான்டா	サンタ
கேளுங்கள்	聴く
கிடைமட்ட	水平
கேன்ஸ்	カンヌ
கிளாஸ்கோ	グラスゴー
மட்டு	モジュール
ஹாலந்து	オランダ
வடிகால்	排水
ஆக்ஸிஜன்	酸素
அடுப்பு	ストーブ
அடுப்பு	コンロ
புல்வெளி	芝生
பழைமை	アンティーク
தொடர்புடையவை	関連
லைலா	レイラ
ஷேக்ஸ்பியர்	シェイクスピア
ஷேக்ஸ்பியர்	シェークスピア
மெர்ரில்	メリル
வீர்	ヴィール
ஜாஸ்	ジャズ
அன்பும்	ラブ
அன்பும்	ラヴ
கலவைகள்	化合物
வைரல்	バイラル
சகாப்தம்	時代
தானியம்	穀物
தானியம்	シリアル
ரூஸ்வெல்ட்	ルーズベルト
செப்பெலின்	ツェッペリン
சாத்தியங்கள்	可能性
ஆர்டர்	オーダー
ஆர்டர்	注文
மதுவிலக்கு	禁酒
மதுவிலக்கு	禁酒令
மதுவிலக்கு	禁止
கரங்கள்	両手
படிவங்கள்	フォーム
படிவங்கள்	形態
நிறைவடைந்தது	終了
திருடன்	泥棒
நாற்காலி	いす
நாற்காலி	チェア
நாற்காலி	椅子
விற்பனையாளர்	売主
ஓநாய்	ウルフ
ஓநாய்	オオカミ
ரிங்கிட்	リンギット
வர்ண	顔料
பாகு	バクー
பீட	高原
பீட	台地
கிராமத்து	村落
கிராமத்து	ヴィレッジ
உத்திகளை	戦略
பிரிமியர்	プレミア
பிரிமியர்	初演
ஹாப்	ホップ
தேவதைகள்	エンジェルス
தேவதைகள்	天使
கோர்ட்	コート
கோர்ட்	法廷
கோர்ட்	裁判所
லூனா	ルナ
ஆண்டனி	アンソニー
அருளும்	グレース
அருளும்	恩寵
அருளும்	グレイス
நறுமணம்	香り
சுயமாக	セルフ
சுயமாக	自己
தேனீக்கள்	ハチ
தேனீக்கள்	ミツバチ
அறிக்கைகளை	ステートメント
பெண்டிர்	婦人
பெண்டிர்	レディース
நெறிகள்	プロトコル
நார்மாண்டி	ノルマンディー
எல்லாவற்றிலும்	全て
எல்லாவற்றிலும்	すべて
செய்தித்தாள்கள்	新聞
செய்தித்தாள்கள்	新聞紙
ஜேக்கப்	ジャコブ
நெற்றி	おでこ
உணர்தல்	換価
உணர்தல்	実現
சந்தித்தனர்	会う
பூசாரி	司祭
உதாரணமாகும்	スポーツマンシップ
வணிகங்கள்	ビジネス
பிங்	ビング
திருப்பு	反転
திருப்பு	フリップ
ஆணி	ネイル
டிஸ்கவரி	ディスカバリー
டிஸ்கவரி	発見
ஆத்தர்	アーサー
இல்லாமலே	なし
மதீனா	マディーナ
மோர்கன்	モルガン
மன்மதன்	キューピッド
வீனஸ்	ヴィーナス
வீனஸ்	ウェヌス
வீனஸ்	金星
எளிமை	シンプル
டூர்	ツアー
இம்பால்	インパール
சுழலி	タービン
ஆய்வக	研究室
நெபுலா	星雲
கிரியை	ワークス
கிரியை	作品
அமல்	アマル
வெற்றிடம்	真空
வெற்றிடம்	バキューム
துடுப்பு	フィン
துடுப்பு	パドル
விரிவுரையாளர்	講師
வினாடி	番目
வினாடி	セカンド
பத்திரிகையாளர்கள்	ジャーナリスト
டோன்	トーン
பிக்காசோ	ピカソ
பீட்	ピート
சமத்துவ	エリトリア
அடைவு	ディレクトリ
அடைவு	フォルダ
பிடியில்	グリップ
துளி	ドロップ
கெல்லர்	ケラー
கணித்த	予言
பரிந்துரையை	推薦
பரிந்துரையை	おすすめ
அகதி	難民
ஆதாம்	アダム
அவென்யூ	アベニュー
பெல்லி	ベル
நலத்துறை	福祉
குத்தகை	賃貸
குத்தகை	賃貸借
குத்தகை	貸す
தியோடர்	テオドール
ஹலோ	こんにちは
ஹலோ	ハロー
ஹார்வர்டு	ハーバード
சசி	シャシ
புத்தம்	銘柄
புத்தம்	ブランド
வனவிலங்குகள்	野生動物
ஒட்டாவா	オタワ
தோற்றது	失敗
மூலை	コーナー
நூர்	ヌール
நொதித்தல்	発酵
ஆஸ்கர்	オスカル
ஆஸ்கர்	オスカー
ஜகார்த்தா	ジャカルタ
கார்ட்	荷車
கார்ட்	カート
காக்ஸ்	コックス
பாஷா	パシャ
எக்செல்	エクセル
வினாக்கள்	質問
செயலற்ற	アイドル
கைரேகை	指紋
இலினொய்	イリノイ
எத்தியோப்பியா	エチオピア
வாக்களிக்கும்	投票
கண்ணுக்குத்	不可視
பெல்லா	ベラ
லாரா	ローラ
பிரான்சுவா	フランソワ
அற்புதம்	すごい
அற்புதம்	おいしい
பெர்க்லி	バークリー
மொழிபெயர்க்க	翻訳
அதிசயம்	奇跡
அதிசயம்	ミラクル
அதிசயம்	ワンダー
எபிசோட்	エピソード
கியோட்டோ	京都
கச்சேரிகள்	コンサート
எடி	エディー
எடி	エディ
இஸ்லாமியர்கள்	イスラム教
இஸ்லாமியர்கள்	ムスリム
ஆப்கான்	アフガン
ஆப்கான்	アフガニスタン
அப்துல்லாஹ்	アブドゥッラー
மகிமை	グローリー
பாத்	入浴
பாத்	風呂
கோபா	コパ
நரகம்	ヘル
நரகம்	地獄
சிரிப்பு	笑う
சிரிப்பு	笑い
டைட்டானிக்	タイタニック
கேஸ்	ケース
கேஸ்	気体
கேஸ்	ガス
லெவி	レヴィ
ஜும்மா	ジュマ
என்றென்றும்	フォーエバー
கேல்	風力
படுகை	盆地
மானியம்	寄附
வாழைப்பழம்	バナナ
பவுண்டுகள்	ポンド
மாறு	切り替え
மாறு	スイッチ
சேர்க்கவும்	加算
சேர்க்கவும்	含める
சேர்க்கவும்	追加
வடம்	電線
வடம்	ケーブル
சாரணர்	スカウト
வெள்ளப்பெருக்கு	洪水
அழகை	美容
குள்ள	小人
குள்ள	ジャッカル
குள்ள	ドワーフ
குவியம்	焦点
குவியம்	フォーカス
லெப்டினன்ட்	中尉
லெப்டினன்ட்	警部補
இரிடியம்	イリジウム
அங்கோலா	アンゴラ
நார்மன்	ノーマン
எதற்காக	なぜ
பீனிக்ஸ்	フェニックス
லேன்	レーン
லேன்	車線
குமட்டல்	吐き気
பராகுவே	パラグアイ
கடுகு	マスタード
குத்திக்	ピアス
காசோலை	小切手
நண்டுகள்	カニ
ரகசியமாக	機密
ரகசியமாக	内密
பலேடியம்	パラジウム
தூண்டில்	ベイト
கருத்தைப்	コメント
ஹரோல்ட்	ハロルド
ஹாமில்டன்	ハミルトン
மைனர்	マイナー
ஈறு	歯茎
ஆமாம்	はい
மடகாஸ்கர்	マダガスカル
கேள்	聴く
கேள்	尋ねる
சோயா	醤油
துணிகளை	被服
துணிகளை	洋服
மறதி	健忘
பஜார்	バザール
உடம்பு	病気
கண்களால்	アイズ
கால்டுவெல்	コールドウェル
மாத்திரைகள்	錠剤
கோல்ஃப்	ゴルフ
வாட்ச்மென்	ウォッチメン
நாற்று	スプラウト
மாதாந்திர	月間
மாதாந்திர	毎月
மாதாந்திர	月刊
எழுது	火傷
எழுது	書き込む
எழுது	書き込み
எழுது	やけど
எழுது	焼き
எழுது	書く
பிரயன்	ブライアン
ராஜினாமா	辞職
ராஜினாமா	辞任
ராஜினாமா	辞表
பவள	サンゴ
நைஜல்	ナイジェル
ஆதாயம்	利得
அறிவிப்புகள்	通知
அறிவிப்புகள்	お知らせ
ஓரம்	国境
ஓரம்	余白
ஓரம்	マージン
ஓரம்	ボーダー
பிளேர்	ブレア
ஐன்ஸ்டீன்	アインシュタイン
கிளீசு	グリーゼ
அரட்டை	雑談
அரட்டை	チャット
நடத்தல்	歩く
